From;To;Type;Through;-1;-1;-1;-1;Comment
611;590;major_river;1097;-1;-1;-1;-1;Qazan-Chuvash
611;614;major_river;1097;-1;-1;-1;-1;Qazan-Ashli
610;609;major_river;1096;-1;-1;-1;-1;Bolghar-Syrt
610;614;major_river;1096;-1;-1;-1;-1;Bolghar-Ashli
616;609;major_river;1095;-1;-1;-1;-1;Pecheneg-Syrt
613;609;major_river;1096;-1;-1;-1;-1;Bilyar-Syrt
608;609;major_river;1103;-1;-1;-1;-1;Lower Volga-Syrt
608;592;major_river;1103;-1;-1;-1;-1;Lower Volga-Burtasy
608;595;major_river;1094;-1;-1;-1;-1;Lower Volga-Don Portage
619;595;major_river;1094;-1;-1;-1;-1;Saray-Don Portage
619;605;major_river;1093;-1;-1;-1;-1;Saray-Manych
620;605;major_river;1092;-1;-1;-1;-1;Itil-Manych
620;604;major_river;1092;-1;-1;-1;-1;Itil-Kuma
596;597;major_river;1088;-1;-1;-1;-1;Tana-Azov
596;607;major_river;1088;-1;-1;-1;-1;Tana-Sarpa
594;607;major_river;1089;-1;-1;-1;-1;Sarkel-Sarpa
594;595;major_river;1090;-1;-1;-1;-1;Sarkel-Don Portage
594;593;major_river;1090;-1;-1;-1;-1;Sarkel-Khopyor
566;593;major_river;1090;-1;-1;-1;-1;Sugrov-Khopyor
543;558;major_river;1070;-1;-1;-1;-1;Oleshye-Lower Dniepr
543;557;major_river;1070;-1;-1;-1;-1;Oleshye-Lukomorie
543;556;major_river;1071;-1;-1;-1;-1;Oleshye-Chortitza
544;555;major_river;1072;-1;-1;-1;-1;Korsun-Pereyaslavl
547;555;major_river;1072;-1;-1;-1;-1;Kiev-Pereyaslavl
547;554;major_river;1076;-1;-1;-1;-1;Kiev-Chernigov
547;550;major_river;1079;-1;-1;-1;-1;Kiev-Minsk
552;550;major_river;1079;-1;-1;-1;-1;Turov-Minsk
555;554;major_river;1073;-1;-1;-1;-1;Pereyaslavl-Chernigov
567;554;major_river;1075;-1;-1;-1;-1;Novgorod Seversky-Chernigov
550;554;major_river;1075;-1;-1;-1;-1;Minsk-Chernigov
550;553;major_river;1077;-1;-1;-1;-1;Minsk-Lyubech
418;553;major_river;1052;-1;-1;-1;-1;Orsha-Lyubech
418;551;major_river;1052;-1;-1;-1;-1;Orsha-Mstislavl
417;551;major_river;1052;-1;-1;-1;-1;Vitebsk-Mstislavl
568;551;major_river;1078;-1;-1;-1;-1;Smolensk-Mstislavl
584;590;major_river;1102;-1;-1;-1;-1;Nizhny Novgorod-Chuvash
581;590;major_river;1102;-1;-1;-1;-1;Murom-Chuvash
581;591;major_river;1104;-1;-1;-1;-1;Murom-Cheremisa
580;591;major_river;1104;-1;-1;-1;-1;Ryazan-Cheremisa
580;577;major_river;1104;-1;-1;-1;-1;Ryazan-Pronsk
580;578;major_river;1104;-1;-1;-1;-1;Ryazan-Kolomna
575;578;major_river;1104;-1;-1;-1;-1;Moskva-Kolomna
512;542;major_river;1056;-1;-1;-1;-1;Belgorod-Olvia
541;542;major_river;1057;-1;-1;-1;-1;Peresechen-Olvia
541;546;major_river;1057;-1;-1;-1;-1;Peresechen-Terebovl
512;511;major_river;1063;-1;-1;-1;-1;Belgorod-Galaz
513;511;major_river;1063;-1;-1;-1;-1;Birland-Galaz
510;511;major_river;1058;-1;-1;-1;-1;Constantia-Galaz
511;514;major_river;1058;-1;-1;-1;-1;Galaz-Turnu
509;514;major_river;1059;-1;-1;-1;-1;Karvuna-Turnu
508;514;major_river;1059;-1;-1;-1;-1;Dorostotum-Turnu
507;514;major_river;1060;-1;-1;-1;-1;Nikopolis-Turnu
507;516;major_river;1060;-1;-1;-1;-1;Nikopolis-Severin
506;516;major_river;1061;-1;-1;-1;-1;Vidin-Severin
1297;1331;major_river;1307;-1;-1;-1;-1;Debul-Sonda
1303;1331;major_river;1307;-1;-1;-1;-1;Ranikot-Sonda
1303;1137;major_river;1307;-1;-1;-1;-1;Ranikot-Mansura
1303;1333;major_river;1308;-1;-1;-1;-1;Ranikot-Siwistan
1138;1333;major_river;1308;-1;-1;-1;-1;Bhakkar-Siwistan
1138;1175;major_river;1309;-1;-1;-1;-1;Bhakkar-Aror
1339;1175;major_river;1309;-1;-1;-1;-1;Rajanpur-Aror
1339;1336;major_river;1309;-1;-1;-1;-1;Rajanpur-Vijnot
1339;1337;major_river;1310;-1;-1;-1;-1;Rajanpur-Uch
1375;1337;major_river;1310;-1;-1;-1;-1;Kafirkot-Uch
1375;1338;major_river;1310;-1;-1;-1;-1;Kafirkot-Multan
1375;1340;major_river;1310;-1;-1;-1;-1;Kafirkot-Karor
1191;1340;major_river;1310;-1;-1;-1;-1;Bannu-Karor
1236;1318;major_river;1311;-1;-1;-1;-1;Candradvipa-Samatata
1236;1319;major_river;1311;-1;-1;-1;-1;Candradvipa-Bikrampur
1240;1319;major_river;1311;-1;-1;-1;-1;Kumara Mandala-Bikrampur
1240;1325;major_river;1312;-1;-1;-1;-1;Kumara Mandala-Madhupur
1243;1151;major_river;1312;-1;-1;-1;-1;Gauda-Laksmanavati
1243;1153;major_river;1313;-1;-1;-1;-1;Gauda-Kotivarsa
1152;1153;major_river;1313;-1;-1;-1;-1;Mudgagiri-Kotivarsa
1152;1419;major_river;1313;-1;-1;-1;-1;Mudgagiri-Mithila
1154;1419;major_river;1313;-1;-1;-1;-1;Magadha-Mithila
1154;1162;major_river;1313;-1;-1;-1;-1;Magadha-Kusinagara
1251;1162;major_river;1315;-1;-1;-1;-1;Sasaram-Kusinagara
1251;1166;major_river;1315;-1;-1;-1;-1;Sasaram-Jaunpur
1251;1163;major_river;1315;-1;-1;-1;-1;Sasaram-Varanasi
1281;1163;major_river;1315;-1;-1;-1;-1;Chunar-Varanasi
1328;1163;major_river;1315;-1;-1;-1;-1;Prayaga-Varanasi
1328;1284;major_river;1315;-1;-1;-1;-1;Prayaga-Bharauli
1283;1284;major_river;1315;-1;-1;-1;-1;Asni-Bharauli
1356;1284;major_river;1314;-1;-1;-1;-1;Kanyakubja-Bharauli
1356;1167;major_river;1314;-1;-1;-1;-1;Kanyakubja-Lakhnau
1356;1358;major_river;1314;-1;-1;-1;-1;Kanyakubja-Vodamayutja
1141;1358;major_river;1314;-1;-1;-1;-1;Kol-Vodamayutja
1141;1173;major_river;1314;-1;-1;-1;-1;Kol-Sambhal
1365;1173;major_river;1314;-1;-1;-1;-1;Delhi-Sambhal
1325;1319;major_river;1316;-1;-1;-1;-1;Madhupur-Bikrampur
1325;1324;major_river;1316;-1;-1;-1;-1;Madhupur-Suvarnagram
1381;1324;major_river;1316;-1;-1;-1;-1;Pundravardhana-Suvarnagram
1321;1246;major_river;1317;-1;-1;-1;-1;Kamarupanagara-Goalpara
1078;1082;portage;568;-1;-1;-1;-1;Dneiper-Dwina
1089;1094;portage;595;-1;-1;-1;-1;Don-Volga
1087;1082;portage;417;-1;-1;-1;-1;Lovat-Dwina
1402;1404;portage;1195;-1;-1;-1;-1;Gulf of Mannar-Palk Strait
939;1382;portage;789;-1;-1;-1;-1;Suez Canal
