#CODE;ENGLISH;;;;;;;;;x 
mesoamerican;Mesoamerican;;;;;;;;;x 
EVTOPTA_SSI_040;If only someone had listened...;;;;;;;;;x 
EVTDESC_SSI_041;The cruel Aztec invaders are now fully in control of Ireland. Thousands of Irishmen have already been sacrificed in celebration, and their Aztec overlords are now in the process of constructing new temples and pyramids where future rituals to please their gods will no doubt take place.;;;;;;;;;x 
EVTOPTA_SSI_041;They must be thrown back into the sea!;;;;;;;;;x 
EVTDESC_SSI_042;The entirety of Britain, from the Scottish Highlands in the north to the White Cliffs of Dover in the south, has been incorporated into the great Aztec nation. This prosperous new colony will become the crown jewel of the Aztec colonial empire, and a springboard for future attacks against continental Europe.;;;;;;;;;x 
EVTOPTA_SSI_042;Imperialist scum!;;;;;;;;;x 
EVTDESC_SSI_043;The city of London has fallen under Aztec rule. Five virgins and fifty clergymen were sacrificed in celebration, and Aztec priests have already commanded the construction of a large ceremonial pyramid on the banks of the Thames.;;;;;;;;;x 
EVTOPTA_SSI_043;Disconcerting.;;;;;;;;;x 
EVTDESC_SSI_044;The city of Paris has fallen under the cruel yoke of the Aztecs, and the Seine now runs red with the blood of the hundred unfortunate souls who were sacrificed to satisfy the demons masquerading as their gods. The Emperor himself has sent his accolades all the way from Tenochtitlan to the Aztec commanders involved.;;;;;;;;;x 
EVTDESC_SSI_045;Aztec armies have reached Rome, and the city has been added to their empire. Terrible screams ring out from the Apostolic Palace as it is defiled by human sacrifice, while Aztec commanders touring the ancient Roman monuments lament the fact that they had no chance to prove themselves in battle against such a worthy foe.;;;;;;;;;x 
EVTDESC_SSI_046;The Imperial City of Constantinople has fallen to the Aztecs, and the great capital has left their warriors impressed, even though it can't compete with the splendor of Tenochtitlan. Aztec priests have already made preliminary plans for the demolishment of the Hagia Sophia, and the construction of a pyramid in its place.;;;;;;;;;x 
EVTDESC_SSI_047;The city of Cordoba, sometimes referred to as the 'Jewel of the World,' has been seized by the Aztecs, who are not impressed. It compares poorly to the great imperial metropolises of the Valley of Mexico and the Yucatan, and the Aztecs sacrifice a hundred Cordoban citizens for their shameless impudence.;;;;;;;;;x 
EVTDESC_SSI_048;The Aztecs have reached Cairo, and found the Great Pyramids of Giza to be unlike anything they have previously encountered. They surpass even the largest pyramids in Cemanahuac, and the Aztec High Priests have declared the surrounding area to be the holiest location outside of Tenochtitlan.;;;;;;;;;x 
EVTDESC_SSI_060;The Aztec invaders have sacrificed [From.GetTitledName] to their demon gods! After bringing [From.GetHerHim] to one of their new temple pyramids, their wicked priests placed [From.GetFirstName] on an altar and sliced [From.GetHerHim] open with a ceremonial dagger. They then tore out [From.GetHerHis] still beating heart to the cheers of their assembled warriors.;;;;;;;;;x 
EVTOPTA_SSI_060;May [This.Religion.GetRandomGodNameCap] see [From.GetHerHim] safely to the afterlife.;;;;;;;;;x 
EVTNAME_SSI_105;The Aztecs Meet With Defeat;;;;;;;;;x 
EVTDESC_SSI_105;The great Aztec warhost that crossed the ocean in their mad bid to conquer all of Creation has been thrown back into the sea. Their colonies have been lost and their armies vanquished. The pitiful remnants of their invasion force has set sail back towards their homeland of Cemanahuac to lick their wounds and inform the Aztec Emperor of their defeat.\n\nThere may come a time when their own shores are visited by fleets from the Old World, and when that happens the debt they have incurred with their former victims will no doubt be collected in full... with interest.;;;;;;;;;x 
EVTOPTA_SSI_105;There shall be a reckoning.;;;;;;;;;x 
EVTNAME_SSI_070;Aztecs Spread Disease;;;;;;;;;x 
EVTDESC_SSI_070;There is no end to the evils the Aztecs have inflicted upon this land. A strange disease emanating from their conquered territories has begun to spread throughout the Old World. The symptoms are similar to those of the dreaded Great Pox, but this cursed plague seems even more virulent. Men skilled in the art of medicine have dubbed it 'syphilis' and all attempts to treat it have thus far met with failure.\n\nNow even those beyond the reach of the Aztec armies are imperiled, as this disease, carried by refugees and merchants, sweeps across Europe and the Middle East like an unstoppable tidal wave.;;;;;;;;;x 
EVTOPTA_SSI_070;We are being punished for our sins.;;;;;;;;;x 
EVTNAME_SSI_071;Smallpox Spreads Across the Sea;;;;;;;;;x 
EVTDESC_SSI_071;It seems that plunder and slaves are not the only things the Aztec sailors have brought back with them to their own shores. Rumours have trickled back to the Old World telling stories of smallpox pandemics sweeping across the Aztec Empire and its neighbours.\n\nThe streets and alleys of Tenochtitlan are said to be littered with the dead and dying, and the Aztec Emperor has commanded the immediate execution of all slaves and prisoners captured on the Great Eastern Continent in an effort to stem the spread of the disease.;;;;;;;;;x 
EVTOPTA_SSI_071;Perhaps there is some justice in this world after all.;;;;;;;;;x 
has_aztec_disease_death;of Syphilis;;;;;;;;;x 
syphilis;Syphilis;;;;;;;;;x 
has_aztec_disease;Syphilitic;;;;;;;;;x 
has_aztec_disease_desc;This character suffers from Syphilis, a virulent strain of Great Pox brought from across the sea by the Aztec conquerors.;;;;;;;;;x 
AZTEC_DISEASE_INFO;This county has suffered an outbreak of Syphilis, a virulent strain of Great Pox brought here by the Aztecs.;;;;;;;;;x 
