#CODE;ENGLISH;;;;;;;;;x 
opinion_hajj_promised;Promised to go on Hajj.;;;;;;;;;x 
EVTOPTA86101;Attempt to avoid them!;;;;;;;;;x 
EVTOPTB86101;Its our duty to stop them..;;;;;;;;;x 
EVTTOOLTIP86102;Me and my group of pilgrims will engage the bandits.;;;;;;;;;x 
EVTDESC86102;It is not possible to outrun these bandits, and we are forced to confront them. There is always the possibility that we can survive this.;;;;;;;;;x 
EVTOPTA86102;They are few enough to defeat alone..;;;;;;;;;x 
EVTOPTB86102;Charge!;;;;;;;;;x 
EVTOPTC86102;Pay them with our remaining gold.;;;;;;;;;x 
EVTDESC86105;Travelling by sea causes you to feel seasick. Luckily there is a hafiz on the ship who quotes the holy Qur'an. 'And they shall be made to drink therein a cup the admixture of which shall be ginger'.;;;;;;;;;x 
EVTOPTA86105;I feel good!;;;;;;;;;x 
EVTDESC86110;As you travel over the sea, your ship spots the sails of a well-known Christian pirate. We have a faster ship, and the chance to eliminate this threat to pilgrims forever!;;;;;;;;;x 
EVTOPTA86110;It's too great of a risk...;;;;;;;;;x 
EVTOPTB86110;We must stop these infidels!;;;;;;;;;x 
EVTDESC86150;Nearby you see how a group of bandits have encircled a group of fellow pilgrims. It is very likely they will rob and kill them.;;;;;;;;;x 
EVTOPTA86150;There is nothing we can do...;;;;;;;;;x 
EVTOPTB86150;Attempt to rescue them!;;;;;;;;;x 
EVTDESC86151;We got surrounded by bandits, and I was sure that I was soon going to be robbed and left for dead, when some fellow pilgrims arrived to save us.;;;;;;;;;x 
EVTOPTA86151;My brother!;;;;;;;;;x 
EVTDESC86160;One of my servants have noticed that a hated rival is camping not far from us. I know that it is against the teachings of the prophet to attack someone on Hajj, but this is a golden opportunity.;;;;;;;;;x 
EVTOPTA86160;Attempt to ambush him in the night..;;;;;;;;;x 
EVTTOOLTIP86161;will face our steel!;;;;;;;;;x 
EVTOPTB86160;Befriend him...;;;;;;;;;x 
EVTTOOLTIP86165;will hear our invitation.;;;;;;;;;x 
EVTOPTC86160;I'll just ignore him.;;;;;;;;;x 
EVTDESC86161;We have been ambushed, and it seems as if it is [From.GetTitledName] who is attempting to kill you. It is an outrage, and it clear that he is not a proper Muslim to attempt such a vile act in the darkness!;;;;;;;;;x 
EVTOPTA86161;Fight back!;;;;;;;;;x 
EVTTOOLTIP86162;is left for dead in the night..;;;;;;;;;x 
EVTOPTB86161;Fight back!;;;;;;;;;x 
EVTOPTC86161;We got enough time to run away..;;;;;;;;;x 
EVTDESC86162;Our ambush ended in disaster... Not only did [From.GetTitledName] get away, but he also injured me severely.;;;;;;;;;x 
EVTOPTA86162;[From.GetTitledName] got the best of me..;;;;;;;;;x 
EVTDESC86163;Success!\nI've left [From.GetTitledName], bleeding severely, to die in the desert...;;;;;;;;;x 
EVTOPTA86163;He will surely die soon enough..;;;;;;;;;x 
EVTDESC86164;It seems that [From.GetTitledName] got away in the quiet of the night...;;;;;;;;;x 
EVTOPTA86164;It can't be helped...;;;;;;;;;x 
EVTDESC86165;A messenger comes with an invitation from [From.GetTitledName] who is camped not far from us, offering to break bread and reconcile our differences.;;;;;;;;;x 
EVTOPTA86165;We are brothers in the faith after all..;;;;;;;;;x 
EVTOPTB86165;Politely Decline...;;;;;;;;;x 
EVTDESC86166;[From.GetTitledName] has joined our camp and we are breaking bread together, reconciling our differences.;;;;;;;;;x 
EVTOPTA86166;Subhan'Allah;;;;;;;;;x 
EVTDESC86167;Honorable [Root.GetTitledName]!\nI regret to inform you that I will not be able to break bread with you today, as I need to break camp immediately.\n\n[From.GetTitledName] ;;;;;;;;;x 
EVTOPTA86167;We have lost face!;;;;;;;;;x 
EVTDESC86170;Travelling to Mecca gives time for reflection. A man should not go into excess when it comes to food, and should always abstain from wine!;;;;;;;;;x 
EVTOPTA86170;I shall be more moderate in my eating..;;;;;;;;;x 
EVTOPTB86170;Alhamdulillah!;;;;;;;;;x 
EVTDESC86180;It seems as if we have managed to get lost here in the desert. One of the humble servants seems as if he might know the right way.;;;;;;;;;x 
EVTOPTA86180;I am [Root.GetTitle]! I know the best way!;;;;;;;;;x 
EVTOPTB86180;Listen to the servant...;;;;;;;;;x 
EVTDESC86300;As you stop for camp one evening, you notice that an old man in poor clothing has made camp at the same place. The man offers to tell you a hadith he has if you can spare him some bread.;;;;;;;;;x 
EVTOPTA86300;Listen to the old man;;;;;;;;;x 
EVTOPTB86300;It is just an old man...;;;;;;;;;x 
TOOLTIP_LISTEN_TO_HADITH;You listen carefully to the old man's hadith.\n;;;;;;;;;x 
EVTDESC86320;The old man starts telling you, that Ka'b ibn Malik reported that the Messenger of Allah, may Allah bless him and grant him peace, said, 'Two hungry wolves loose among sheep do not cause as much damage as that caused to a man's deen by his greed for money and reputation.' ;;;;;;;;;x 
EVTOPTA86320;Greed is against Islam!;;;;;;;;;x 
EVTOPTB86320;Alhamdulillah!;;;;;;;;;x 
EVTDESC86330;The old man says that, the Messenger of Allah, may Allah bless him and grant him peace, would often pray, 'O Allah! I seek your protection from anxiety and grief, from incapacity and laziness, from stinginess and cowardice, and from the burden of debt and the domination of people.';;;;;;;;;x 
EVTOPTA86330;I bow my head and say the same prayer.;;;;;;;;;x 
EVTOPTB86330;Alhamdulillah!;;;;;;;;;x 
EVTDESC86340;The old man says that, Abu Hurayra reported that the Prophet, may Allah bless him and grant him peace, said, 'Beware of envy. Envy devours good actions as fire devours wood.';;;;;;;;;x 
EVTOPTA86340;Envy harms myself!;;;;;;;;;x 
EVTOPTB86340;Alhamdulillah!;;;;;;;;;x 
EVTDESC86350;The old man says that, Ibn Mas'ud reported that the Prophet, may Allah bless him and grant him peace, said, 'Truthfulness leads to piety and piety leads to the Garden. A man should be truthful until he is written down as truthful in the sight of Allah. Lying leads to deviance and deviance leads to the Fire. A person lies to the point that he is written down as a liar in the sight of Allah.';;;;;;;;;x 
EVTOPTA86350;I should be with the truthful!;;;;;;;;;x 
EVTOPTB86350;Alhamdulillah!;;;;;;;;;x 
EVTDESC86360;The old man quotes the Messenger of Allah, may Allah bless him and grant him peace, from Sunan Abu Dawood, "The most evil traits in a man are severe stinginess and uninhibited cowardice!";;;;;;;;;x 
EVTOPTA86360;And I am no evil man...;;;;;;;;;x 
EVTOPTB86360;Alhamdulillah!;;;;;;;;;x 
EVTDESC86380;The old man starts telling you, that Abu Bakr as-Siddiq said.. "I heard the Messenger of Allah, may Allah bless him and grant him peace, say, 'If people see an unjust person, and do not restrain him, Allah is very likely to seize them with retribution from Him.'";;;;;;;;;x 
EVTOPTA86380;Allah commands to justice and doing good!;;;;;;;;;x 
EVTOPTB86380;Alhamdulillah!;;;;;;;;;x 
EVTDESC86390;The old man says, "As the holy Qur'an says, 'You desire the attractions of this world, but Allah desires the next world for you!', and 'Yes, you prefer the life of this world, but the next world is better and more lasting.'";;;;;;;;;x 
EVTOPTA86390;This is wisdom!;;;;;;;;;x 
EVTOPTB86390;Alhamdulillah!;;;;;;;;;x 
EVTDESC86400;The old man says, As related by Al-Tirmidhi, "I said, O Prophet of Allah, will we be held accountable for what we say? He said, 'May your mother be bereft of you! Is there anything that topples people on their faces into the hellfire other than the jests of their tongues?'";;;;;;;;;x 
EVTOPTA86400;I will think more on what I say...;;;;;;;;;x 
EVTOPTB86400;Alhamdulillah!;;;;;;;;;x 
EVTDESC86410;The old man says that Abu Hurairah heard the prophet say "When Allah decreed the Creation He pledged Himself by writing in His book which is laid down with Him: 'My mercy prevails over My wrath'.";;;;;;;;;x 
EVTOPTA86410;This is wisdom I was not aware of.;;;;;;;;;x 
EVTOPTB86410;Alhamdulillah!;;;;;;;;;x 
EVTDESC86510;As you arrive in Mecca you start preparing for the evening's prayer when you discover that the water in the well is not entirely pure. This would not be valid water to use for ablution.;;;;;;;;;x 
EVTOPTA86510;Inform others nearby.;;;;;;;;;x 
EVTTOOLTIP86511;will be grateful;;;;;;;;;x 
EVTDESC86511;While performing wudu before the night's prayer, a fellow pilgrim points out an impurity in the water!;;;;;;;;;x 
EVTOPTA86511;Cleanliness is half of faith!;;;;;;;;;x 
EVTDESC86520;As you arrive in Mecca, you change from your travelling clothes and dress in the white ihram clothing. This cloth is intended to make everyone appear the same, as in the eyes of Allah there is no difference between a [Root.GetTitle] and a pauper!;;;;;;;;;x 
EVTOPTA86520;I am humbled....;;;;;;;;;x 
EVTDESC86550;You are now at Kabah itself, and performing the Tawaf. Seven circuits you will walk around the black stone, and each time you complete a circuit you point to the stone and say 'In the name of Allah, Allah is Great, Allah is Great, Allah is Great and praise be to Allah'.;;;;;;;;;x 
EVTOPTA86550;Shout at every circuit!;;;;;;;;;x 
EVTOPTB86550;Only shout the first three times;;;;;;;;;x 
EVTDESC86600;Performing the Sa'i involved running seven times between the hills of Safa and Marwah. This is done to remember the search for water by Ishmael's mother...;;;;;;;;;x 
EVTOPTA86600;I feel invigorated!;;;;;;;;;x 
EVTDESC86610;The ninth day in Mecca you perform the Wuquf at Mount Arafat, with the entire afternoon dedicated to contemplative vigil, praying, and reciting the holy Qur'an.;;;;;;;;;x 
EVTOPTA86610;I feel like I understand more now;;;;;;;;;x 
EVTDESC86620;When Abraham left Mina and was brought down to al-Aqaba, the Devil appeared to him. Gabriel said to him: 'Pelt him!' so Abraham threw seven stones at him so that he disappeared from him.;;;;;;;;;x 
EVTOPTA86620;Stone the Jamarat!;;;;;;;;;x 
EVTDESC86630;To symbolize the mercy God had for Abraham, and replacing his son Ishmael with a ram, which Abraham then sacrificed, we perform the Eid al-Adha while at Mecca.;;;;;;;;;x 
EVTOPTA86630;Sacrifice a ram.;;;;;;;;;x 
EVTOPTB86630;Sacrifice a lamb.;;;;;;;;;x 
EVTDESC86700;A group of bandits have forced our party to make a stand. We are outnumbered, but with the joy in our heart from our pilgrimage, we have a chance to defeat them!;;;;;;;;;x 
EVTOPTA86700;These infidels will shatter.;;;;;;;;;x 
EVTOPTB86700;Run away!;;;;;;;;;x 
EVTDESC86701;We accidentally ran into a group of bandits at nightfall, and the guards that I had hired to protect my group proved their worth. All of the infidel bandits have been slain.;;;;;;;;;x 
EVTOPTA86701;Their loot can come to use.;;;;;;;;;x 
EVTDESC86720;As you travel back home from Mecca you encounter a very poor village, where even the richest seem to starve.;;;;;;;;;x 
EVTOPTA86720;I must help them!;;;;;;;;;x 
EVTOPTB86720;I can't afford to help them all..;;;;;;;;;x 
EVTDESC86800;I have returned to my court a changed man. I am truly humbled before Allah, and I know that all men are equal and can live in harmony with each other.;;;;;;;;;x 
EVTOPTA86800;There is no god but Allah, and Muhammad is the messenger of Allah;;;;;;;;;x 
EVTDESC86900;A local Imam is berating you as you are getting older and have not yet been on hajj, which is expected of every Muslim once in his life. [Root.job_spiritual.GetTitledFirstName] says that as a ruler, I should be an example for my subjects.;;;;;;;;;x 
EVTOPTA86900;I will soon go to Mecca!;;;;;;;;;x 
EVTOPTB86900;I am busy preparing a jihad, to liberate fellow Muslims!;;;;;;;;;x 
EVTOPTC86900;I am busy being [Root.County.Holder.PrimaryTitle.GetRulerTitle]!;;;;;;;;;x 
EVTDESC86901;[Root.job_spiritual.GetTitledFirstName] is reminding you that you have promised to go to Mecca, and that while Allah is merciful in His wisdom, you have indeed promised Him to go on a pilgrimage.;;;;;;;;;x 
EVTOPTA86901;I am not a good Muslim...;;;;;;;;;x 
EVTDESC86902;[Root.job_spiritual.GetTitledFirstName] is reminding you that you had promised to liberate good Muslims living under Christian rule, and there still exists such in the world.;;;;;;;;;x 
EVTOPTA86902;I am not a good Muslim...;;;;;;;;;x 
EVTDESC1986;To lie with another [Root.GetManWoman] as you would lie with a [Root.GetManWomanOpp] is sinful, forbidden and if I was to be exposed, death would be my penalty.;;;;;;;;;x 
EVTOPTA1986;I will be careful...;;;;;;;;;x 
EVTOPTB1986;I... cannot risk it;;;;;;;;;x 
EVTDESC3730;The clumsy servant once again managed to cover me in chicken bones, rice and oil and I lost my temper, knocking the servant to the floor in a clatter of broken crockery. My wroth had once again gotten the best of me...;;;;;;;;;x 
EVTOPTA3730;Next time, your head will hang from the castle walls!;;;;;;;;;x 
EVTTOOLTIP3731;watches [Root.GetTitledFirstName] lose [Root.GetHerHis] temper;;;;;;;;;x 
EVTDESC3731;It was not the first time the servant managed to spill food and dirty crockery on [From.GetTitledFirstName] and the furious [From.GetManWoman] sent the servant to the floor with a mighty slap, threatening to hang the servant's head from the castle wall if he ever did it again...;;;;;;;;;x 
EVTOPTA3731;You should not treat your servants like that!;;;;;;;;;x 
EVTTOOLTIP3732;is stunned [Root.GetTitledFirstName] dared talk to [This.GetHerHim] like that;;;;;;;;;x 
EVTOPTB3731;Your servant will certainly be more careful from now on;;;;;;;;;x 
EVTTOOLTIP3733;is glad [Root.GetTitledFirstName] understands why it is so important to discipline bad servants;;;;;;;;;x 
EVTDESC3732;When the servant finally came to and started collecting the broken crockery, [From.GetTitledFirstName] couldn't help but comment on what had transpired before [From.GetHerHim]. Apparently, I was not to chastise my own servants, not even when they shamed me in front of guests!;;;;;;;;;x 
EVTOPTA3732;Don't you tell me what I might or might not do!;;;;;;;;;x 
EVTDESC3733;'You did right, chastising your clumsy servant like this. From now on, he will certainly be more careful if he do not wish to have his head hung up on the castle walls!'\n[From.GetTitledFirstName] spoke approvingly of me punishing the servant for spilling food.;;;;;;;;;x 
EVTOPTA3733;Glad I have your approval...;;;;;;;;;x 
EVTDESC3735;Everyone else ran off to chase the alleged thieves who had stolen the zakat, the money we all had contributed to give to those less fortunate, from our mosque. Instead of following them, I searched through the mosque and discovered the zakat hidden in a niche no one else had thought to look in.;;;;;;;;;x 
EVTOPTA3735;The imam is getting old;;;;;;;;;x 
EVTTOOLTIP3736;[Root.GetTitledFirstName] cravenness led to the zakat and [This.GetTitledFirstName] is very grateful;;;;;;;;;x 
EVTDESC3736;All but [From.GetTitledFirstName] chased after the alleged thieves and I thought [From.GetSheHe] to be a coward. When we finally got back to the mosque, without the zakat, the money collected to help the poor, [From.GetTitledFirstName] triumphantly told us it had been hidden in a niche inside the mosque all along...;;;;;;;;;x 
EVTOPTA3736;My thoughts were shameful, forgive me for thinking them!;;;;;;;;;x 
EVTTOOLTIP3737;is praised for [This.GetHerHis] cleverness;;;;;;;;;x 
EVTDESC3737;I had not really expected anyone to truly care about the missing zakat, at the time it seemed more like an excuse to make as much noise and tumult as possible. I was proven wrong when [From.GetTitledFirstName] shook my hand and thanked me for finding the money.;;;;;;;;;x 
EVTOPTA3737;Now the money can help the poor, that's all I ever wanted;;;;;;;;;x 
EVTDESC3740;I was one of the first to saddle my horse and chase after the bandits who had stolen the zakat, the money collected to help the poor, from our mosque. When I returned, exhausted and with filthy clothes, I was told the old imam had simply misplaced the zakat.;;;;;;;;;x 
EVTOPTA3740;My effort was appreciated, at least;;;;;;;;;x 
EVTDESC3745;I am content with praying five times a day in my own home but the imam scolds me if I do not show up at least once a day at the mosque for prayers and tells me I should set a better example for my subjects.;;;;;;;;;x 
EVTOPTA3745;I will try, may Allah be my witness;;;;;;;;;x 
EVTDESC3750;There's always something to do in the mosque. The more time I spend there, the more I appreciate the calm and I feel more connected to Allah.;;;;;;;;;x 
EVTOPTA3750;Let me know if more help is needed;;;;;;;;;x 
EVTTOOLTIP3751;feels neglected by [Root.GetTitledFirstName];;;;;;;;;x 
EVTOPTB3750;Let me stay here, forever;;;;;;;;;x 
EVTDESC3751;Ever since [From.GetTitledFirstName] became engaged in the mosque's different activities, or, rather, started following every order from the imam and wasting time, [From.GetSheHe] has stopped spending time with me.;;;;;;;;;x 
EVTOPTA3751;Wife, why do you neglect me?;;;;;;;;;x 
EVTOPTB3751;Husband, why do you neglect me?;;;;;;;;;x 
EVTOPTC3751;Father, why do you neglect me?;;;;;;;;;x 
EVTOPTD3751;Mother, why do you neglect me?;;;;;;;;;x 
EVTTOOLTIP3752;[Root.GetTitledFirstName] is not happy with [This.GetTitledFirstName]'s obsession with the mosque;;;;;;;;;x 
EVTDESC3752;I have had little time for [From.GetTitledFirstName] since I became engaged in the mosque's different activities and [From.GetTitledFirstName] is not happy with me neglecting [From.GetHerHim].;;;;;;;;;x 
EVTOPTA3752;I'm sorry, but it makes me happy!;;;;;;;;;x 
EVTDESC3755;I try to follow the five pillars of Islam as best I can, and zakat is one of the most important and best ways to show my commitment to the faith. The few gold coins exacted from me to help the poor in form of zakat is most vital to eliminate inequality and make the world a better place for everyone.;;;;;;;;;x 
EVTOPTA3755;I gladly give this;;;;;;;;;x 
EVTDESC30110;The imams are not always easy to deal with. I need to make sure I have their approval and I have both my wife [Root.Spouse.GetFirstName] and my [Root.GetLordSpiritualName] [Root.job_spiritual.GetFullName] giving me advice on how to earn the imam's approval.;;;;;;;;;x 
EVTOPTA30110;[Root.Spouse.GetFirstName] suggests I should offer to rebuild the mosque;;;;;;;;;x 
EVTOPTB30110;[Root.job_spiritual.GetFullName] suggests I try to scare the imams into submission;;;;;;;;;x 
EVTOPTC65036;Thank Allah in private;;;;;;;;;x 
EVTDESC65046;My beloved spouse has saved me from the fate of drunkards. [Root.Religion.GetRandomGodNameCap] bless [Root.Spouse.GetHerHim]!;;;;;;;;;x 
EVTOPTC65050;I'll ask an Imam for advice;;;;;;;;;x 
EVTDESC65055;Why am I sick, [GetFromRelation], is [Root.Religion.GetRandomGodName] punishing me? I haven't done anything wrong, have I?;;;;;;;;;x 
EVTDESC65056;My [GetFromRelation] [From.GetFirstName] is very sick. [From.GetSheHe] is delirious and have started asking if [Root.Religion.GetRandomGodName] is punishing [From.GetHerHim].;;;;;;;;;x 
EVTOPTD65056;[Root.Religion.GetRandomGodNameCap] will cure you!;;;;;;;;;x 
EVTOPTA65057;If I need to be cured, [Root.Religion.GetRandomGodName] will cure me;;;;;;;;;x 
EVTDESC65165;The wine from last night did not agree with me, I woke up with a terrible hangover this morning. Now the imam is chanting again, and I keep falling asleep during the sajdah here in the mosque.;;;;;;;;;x 
EVTOPTA65165;I can't... keep my... eyes... open...;;;;;;;;;x 
EVTOPTB65165;Apologise, and pray some more;;;;;;;;;x 
EVTDESC65166;The imams can be a bit irritable and after my latest blunder I feel the need to be extra careful around them. Too bad I cannot really rely on myself when I am stressed to be anything else but blunt.;;;;;;;;;x 
EVTTOOLTIP65010;appreciates your trust in [This.GetHerHim];;;;;;;;;x 
EVTDESC65167;The more stressed [From.GetTitledFirstName] gets, the more blunt and outspoken [From.GetSheHe] becomes. There have been rumors about what happened the last time the imams visited us, and none of us who experienced the awkwardness and rage of [From.GetTitledFirstName] are keen to watch that happen again.;;;;;;;;;x 
EVTDESC69066; Now even the Caliph has heard about my lack of piety! The Caliph's messenger was there to give me a stern speech about my lack of faith and to make sure the bonds between the Caliph and the [Root.Religion.GetName] Church in [Root.Location.GetName] is still strong despite my lack of piety.;;;;;;;;;x 
EVTOPTA69066;I will prove my piety by doubling, nay, tripling the zakat!;;;;;;;;;x 
EVTDESC69095;It seems to me [Root.job_spiritual.GetTitledFirstName] isn't as pious as [Root.job_spiritual.GetSheHe] claims to be. Instead of improving relations with the imams, [Root.job_spiritual.GetTitledFirstName] managed to make an utter fool out of [Root.job_spiritual.GetHerselfHimself] and, indirectly, me!;;;;;;;;;x 
EVTDESC69096;[Root.GetTitledFirstName] was a bit too harsh when [Root.GetSheHe] chastised me for ruining the relations with the imams! Although, I admit, I should probably have chosen less unconventional ways of assuring their support...;;;;;;;;;x 
EVTDESC69100;The lack of piety I have observed in one of the courtiers makes me worried. I wouldn't want to accuse anyone of not being a good Muslim, but if my suspicions are correct then something needs to be done!;;;;;;;;;x 
EVTOPTB69100;Expose the courtier as not a good Muslim;;;;;;;;;x 
EVTDESC69101;Faith has never been one of my great strengths, I do believe in Allah but I have trouble accepting all the rituals and demands the imams feel necessary. [From.GetTitledFirstName] confronted me about this, I hadn't even realized my lack of piety was so noticeable.;;;;;;;;;x 
EVTDESC69102;All those rituals and demands the imams feel necessary to prove one's piety is pure nonsense. Despite my feelings about those unnecessary, empty gestures I have always been careful to not show my lack of piety, but perhaps not careful enough. If I don't pay [From.GetTitledFirstName] fifty gold [From.GetSheHe] will expose my lack of faith to everyone!;;;;;;;;;x 
EVTDESC75005;There is no man better at increasing the [Root.Religion.GetName] Church's opinion of me or teach me to become a more pious Muslim than my [Root.GetLordSpiritualName] [Root.job_spiritual.GetTitledFirstName]!;;;;;;;;;x 
EVTOPTA75005;Talk to the [Root.Religion.GetName] Church, [Root.job_spiritual.GetTitledFirstName];;;;;;;;;x 
EVTOPTB75005;Teach me to be a pious Muslim, [Root.job_spiritual.GetTitledFirstName];;;;;;;;;x 
EVTDESC3411;I had two men pleading for my mercy in my court today. Both of them had committed the same crime, stolen an object of minor value - one a bread and the other some rice. The bread stealer was beheaded, the rice thief absolved.;;;;;;;;;x 
EVTOPTA3411;This is my court, I may be as arbitrary as I wish;;;;;;;;;x 
EVTTOOLTIP3412;ponders your judgement: good or bad?;;;;;;;;;x 
EVTDESC3412;I witnessed [From.GetTitledFirstName] judge the two men and [From.GetHerHis] verdict made me ponder the matter for several days. Why would [From.GetTitledFirstName] sentence one man to be beheaded and absolve the other when they had committed the same crime?;;;;;;;;;x 
EVTOPTA3412;[From.GetSheHeCap] is too arbitrary;;;;;;;;;x 
EVTTOOLTIPA3413;is displeased [Root.GetTitledFirstName] disagrees with [This.GetHerHis] judgement;;;;;;;;;x 
EVTOPTB3412;[From.GetTitledFirstName] must be wiser than me;;;;;;;;;x 
EVTTOOLTIPB3413;is pleased [Root.GetTitledFirstName] agrees with [This.GetHerHis] judgement;;;;;;;;;x 
EVTDESC3413;The men, whose similar crimes I judged arbitrarily, gave [From.GetTitledFirstName] something to ponder. I had all but forgotten about it when [From.GetTitledFirstName] finally got the courage to discuss it with me.;;;;;;;;;x 
EVTOPTA3413;[From.GetTitledFirstName] thinks I am a bad person for ruling so arbitrary!;;;;;;;;;x 
EVTOPTB3413;[From.GetTitledFirstName] thought my judgement to be wiser than [From.GetSheHe] could understand;;;;;;;;;x 
EVTDESC3476;A Christian priest came to my court today to talk about matters of faith, but it soon became clear he only wanted to convert us to his faith! As a zealous Muslim I believe I did the right thing when I gave the order to imprison this infidel.;;;;;;;;;x 
EVTOPTA3476;A suitable punishment for an infidel...;;;;;;;;;x 
EVTDESC3477;I watched, partly horrified, partly filled with admiration, as the infidel was dragged out of the dining hall and into [From.GetTitledFirstName]'s prison.;;;;;;;;;x 
EVTTOOLTIP3478;The infidel belongs in prison, [This.GetTitledFirstName]!;;;;;;;;;x 
EVTDESC3478;I was still shaking with rage at the infidel's outrageous words when [From.GetTitledFirstName] took the opportunity to whisper: 'Good work' in my ear.;;;;;;;;;x 
EVTDESC100550;The [Root.Religion.GetName] imams are constantly pestering me about religion, [Root.Religion.GetRandomGodName] and money to the zakat. No matter what I do, promise to pray more or read the Qur'an more thoroughly they won't leave me alone!;;;;;;;;;x 
EVTOPTB100550;Allah, help me be a better Muslim!;;;;;;;;;x 
EVTDESC100551;I find it curious that the [From.Religion.GetName] imams are constantly pestering [From.GetTitledFirstName] no matter what [From.GetSheHe] promises to do or no matter how much money [From.GetSheHe] gives for the zakat.;;;;;;;;;x 
EVTOPTB100551;I don't want to do anything to make the imams upset;;;;;;;;;x 
EVTTOOLTIP100553;is discouraged that the [This.Religion.GetName] imams frighten [Root.GetTitledFirstName] so;;;;;;;;;x 
EVTDESC100552;'All the [Root.Religion.GetName] imams care about is money. Give them money whenever they come visiting and they will leave you alone for weeks, if not months for fear of being sinful: no imam want to admit to the sin of being greedy.'\n[From.GetTitledFirstName] advised me soundly and I agreed to try it.;;;;;;;;;x 
EVTOPTB100552;It's not only the imams who are greedy...;;;;;;;;;x 
EVTDESC100553;It seems as if no one wants to help me for fear of upsetting the [Root.Religion.GetName] imams, not even my friend [From.GetTitledFirstName]!;;;;;;;;;x 
EVTOPTA100553;The pestering imams are getting worse!;;;;;;;;;x 
EVTDESC100554;[From.GetTitledFirstName] told me [From.GetSheHe] had a great advice for me on how to stop the [Root.Religion.GetName] imams pestering me and [From.GetSheHe] got my undivided attention. The problem, though, was that [From.GetTitledFirstName] wanted payment for [From.GetHerHis] advice!;;;;;;;;;x 
