pagan;Animist;;;;;;;;;x
norse_pagan_reformed_DESC;The Asatru Pagan faith has a Holy Book written in runes with chapters on Creation, the gods, Ragnarok, and secret spells - 'galdrs'. The church has a standardized liturgy and a formal church hierarchy led by the Fylkir, who is both a secular ruler and the religious leader of the faithful.;;;;;;;;;x 
tengri_pagan_reformed_DESC;The Tengrist Pagan faith has a Holy Book written in the Orkhon runic script, a standardized liturgy and a formal church hierarchy led by the High Priest of Tengri, who can be vassalized by secular rulers.;;;;;;;;;x 
baltic_pagan_reformed_DESC;The Romuva Pagan faith has a Holy Book with a creation myth, chapters on the gods and a book of prophesies. The church also has a standardized liturgy and a formal church hierarchy led by the High Priest of Dievs, who can be vassalized by secular rulers.;;;;;;;;;x 
finnish_pagan_reformed_DESC;The Suomenusko faith has a Holy Book with a creation myth, chapters on the gods and a book of spells and mysteries. The church also has a standardized liturgy and a formal church hierarchy led by the High Priest of Ukko, who can be vassalized by secular rulers.;;;;;;;;;x 
slavic_pagan_reformed_DESC;The reformed Slavic faith has a Holy Book with a creation myth, chapters on the gods and a book of prophesies. The church also has a standardized liturgy and a formal church hierarchy led by the High Priest of Perun, who can be vassalized by secular rulers.;;;;;;;;;x 
west_african_pagan_reformed_DESC;The Akkan faith is a fusion of many popular beliefs, with a single Holy Book including a creation myth, chapters on the spirits, totem animal fables and gods. The church also has a standardized liturgy and a formal church hierarchy led by the High Priest of Nyame, who can be vassalized by secular rulers.;;;;;;;;;x 
zun_pagan_reformed_DESC;Zun, the Sun-God and Giver of Justice, embodies wisdom, power, fire and the light that drives away the night. The reformed Zun faith has a Holy Book detailing things such as the creation myths and outlining church doctrine, as well as a standardized liturgy and a formal church hierarchy led by the High Priest of Zun, who can be vassalized by secular rulers.;;;;;;;;;x 
d_tengri_pagan_reformed;The Cult of Tengri;;;;;;;;;x 
d_balic_pagan_reformed;The Cult of Dievs;;;;;;;;;x 
d_finnish_pagan_reformed;The Cult of Ukko;;;;;;;;;x 
d_slavic_pagan_reformed;The Cult of Perun;;;;;;;;;x 
d_west_african_pagan_reformed;The Cult of Nyame;;;;;;;;;x 
d_zun_pagan_reformed;The Cult of Zun;;;;;;;;;x 
d_darkhan_knights;The Darkhan Knights;;;;;;;;;x 
d_guardians_nyame;The Guardians of Nyame;;;;;;;;;x 
GOD_NYAME;Nyame;;;;;;;;;x 
