#CODE;ENGLISH;;;;;;;;;x 
eunuch;Eunuch;;;;;;;;;x 
EVTNAMELoR.2;The Reconquest of Aegyptus;;;;;;;;;x 
EVTDESCLoR.2;The dark times are over for the people of Aegyptus, as Roman rule has been restored to the land once more. The Land of the Pharaohs served well as the breadbasket of the old empire, and it will again become a vital cornerstone in the continued prosperity of the glorious Roman State.;;;;;;;;;x 
EVTNAMELoR.3;The Reconquest of Cyrenaica;;;;;;;;;x 
EVTDESCLoR.3;The citizens of Cyrenaica can rejoice, as Roman law is once more upheld in this barren land. Yet another ancient Roman province has been returned to the bosom of the mightiest empire the civilised world has ever seen. May it never suffer the cruel touch of barbarians again.;;;;;;;;;x 
EVTNAMELoR.4;The Recoquest of Africa;;;;;;;;;x 
EVTDESCLoR.4;The influence of [Root.GetTitledFirstName] is now felt throughout the former Roman province of Africa, as it once more falls under the sway of the Empire. Imperial troops are marching through the city of Carthage, the ancient nemesis of Rome, in definite proof that history does indeed repeat itself.;;;;;;;;;x 
EVTNAMELoR.5;The Reconquest of Illyricum;;;;;;;;;x 
EVTDESCLoR.5;The former Roman province of Illyricum has again been restored to its rightful owners in the resurgent Roman Empire. With the eastern shores of the Adriatic secured, this important recruiting ground may prove vital in future campaigns to reclaim Rome's proper borders in the west.;;;;;;;;;x 
EVTNAMELoR.6;The Reconquest of Italia;;;;;;;;;x 
EVTDESCLoR.6;For the second time since the fall of the Western Empire, Italy has been liberated and restored to proper Roman rule - hopefully for good this time. The great city of Rome itself is now yours, and even hardened soldiers can be seen weeping as the Imperial standard flutters in the breeze from Trajan's Column.;;;;;;;;;x 
EVTNAMELoR.7;The Reconquest of Gallia;;;;;;;;;x 
EVTDESCLoR.7;Gaul, long thought forever lost to Roman rule, has submitted to the [Root.GetTitle] and been incorporated back into the Empire. The region has changed much since Caesar campaigned in it over a thousand years ago, but no longer will it suffer under the rule of upstart kings or false emperors.;;;;;;;;;x 
EVTNAMELoR.8;The Conquest of Germania;;;;;;;;;x 
EVTDESCLoR.8;The Roman Empire has now expanded beyond the borders it claimed even under the great Trajan. Germania, ever the bane of Roman armies, has at long last been pacified and incorporated into the Empire. It will now be ruled by the true continuation of the Roman State - not a false empire pretending at such.;;;;;;;;;x 
EVTNAMELoR.9;The Reconquest of Britannia;;;;;;;;;x 
EVTDESCLoR.9;Cruelly left to their own devices when the Roman garrisons abandoned the province of Britannia in the 5th century, the Bretons can at last rejoice. For after suffering through centuries of darkness, Roman rule has finally been restored to their little island and they may consider themselves Imperial subjects once more.;;;;;;;;;x 
EVTNAMELoR.10;The Reconquest of Hispania;;;;;;;;;x 
EVTDESCLoR.10;The power and influence of the Roman Empire now extends all the way to the old province of Hispania once more. This land has suffered greatly from the constant border skirmishes waged by its bickering Muslim and Catholic lords, but now it may finally know peace again.;;;;;;;;;x 
EVTNAMELoR.11;The Reconquest of Mauretania;;;;;;;;;x 
EVTDESCLoR.11;The great general Belisarius reconquered parts of Mauretania from the barbaric Vandals in the 6th century, but it was all eventually lost to the Arabs in their relentless drive across North Africa. Now that this land has been fully restored to Roman control after centuries of misrule, it may flourish again.;;;;;;;;;x 
EVTNAMELoR.12;The Reconquest of Mesopotamia;;;;;;;;;x 
EVTDESCLoR.12;Emperor Trajan conquered Mesopotamia from the Parthian Empire and organized it as a Roman province, but it was abandoned by his successor Hadrian just a few years later. Now the Euphrates and Tigris rivers are once again under the Roman aegis, and this time they may be there to stay.;;;;;;;;;x 
EVTNAMELoR.13;The Conquest of Caledonia;;;;;;;;;x 
EVTDESCLoR.13;The borders of Rome have now advanced well beyond the ancient ruins of both Hadrian's Wall and the Antonine Wall to at last include all of Caledonia. This hard and unforgiving land is the home of a peculiar breed of people, but they will be turned into productive Roman citizens yet.;;;;;;;;;x 
EVTNAMELoR.14;The Conquest of Hibernia;;;;;;;;;x 
EVTDESCLoR.14;The island of Hibernia is the latest addition to the ever-expanding domains of the Roman Empire. This land of gently rolling hills and green fields was never conquered by the old empire, but it should become a pleasant fief to govern if one does not mind the rain or the foul-smelling Norse settlers along the coast.;;;;;;;;;x 
restore_roman_empire;Restore the Roman Empire;;;;;;;;;x 
restore_roman_empire_desc;If Rome and other key territories of the old empire could be reclaimed, the Byzantine Empire would win recognition in the eyes of the West as the true and rightful continuation of the Roman State.;;;;;;;;;x 
EVTTOOLTIPLoR.20;The Roman Empire is restored.;;;;;;;;;x 
EVTNAMELoR.20;The Dawn of a New Era;;;;;;;;;x 
EVTDESCLoR.20;Friends, Romans, countrymen, lend me your ears! After the miraculous recovery of territory lost centuries ago, the Roman Empire has been reborn! Europe has endured dark times since the imperial frontiers were stormed by barbarians and province after province burned at their touch, but now a bright new age has dawned for all of civilization.\n\nThe Roman State will no longer be referred to as the "Empire of the Greeks" by jealous pretenders in the West, but recognized as the true heir to the legacy of Rome. [Root.GetTitledFirstName] rules a restored Roman Empire, but much work remains to be done. There is still territory to recover and ancient borders to reclaim.;;;;;;;;;x 
EVTOPTALoR.20;Long live the Empire!;;;;;;;;;x 
EVTNAMELoR.21;The Second Age of Rome;;;;;;;;;x 
EVTDESCLoR.21;The Byzantines, previously referred to as the "Empire of the Greeks" by many in the West, have somehow managed to reclaim enough lost territory to declare the Roman Empire restored! It can no longer be denied that they are the true successors of Rome and its glorious legacy. They claim a new era is upon us.;;;;;;;;;x 
EVTOPTALoR.21;Can it be true?;;;;;;;;;x 
EVTOPTBLoR.21;But... what about my empire?;;;;;;;;;x 
EVTDESCLoR.30;In honor of the Empire's recent victory, it would be appropriate to hold a triumph in the capital for the heroic soldiers who fought in the campaign. Such an arrangement will be expensive, but the people expect nothing less.;;;;;;;;;x 
EVTOPTALoR.30;Yes, a glorious triumph will be held.;;;;;;;;;x 
EVTOPTBLoR.30;A brief ovation at the Hippodrome should be enough.;;;;;;;;;x 
EVTOPTCLoR.30;No, we have no time for such nonsense.;;;;;;;;;x 
EVTTOOLTIPLoR.31;A triumph is held at the Hippodrome.;;;;;;;;;x 
EVTDESCLoR.31;A mighty triumph is held at the Hippodrome to celebrate the brave generals and soldiers who brought defeat to the enemies of the Empire. The people cheer as trumpeters lead a long procession that includes parading soldiers, carts filled with the spoils of war and cages holding captives from the recent campaign.;;;;;;;;;x 
EVTOPTALoR.31;The Empire is on the verge of success.;;;;;;;;;x 
EVTDESCLoR.32;The [Root.Liege.GetTitle] has commanded that a triumph be held at the Hippodrome to celebrate the brave soldiers responsible for the Empire's recent victory. The people cheer as trumpeters lead a long procession that includes parading soldiers, carts filled with the spoils of war and cages holding captives from the recent campaign.;;;;;;;;;x 
EVTOPTALoR.32;An impressive display.;;;;;;;;;x 
opinion_triumph_held;Triumph Held;;;;;;;;;x 
triumph_held;Your vassals are impressed by this display of Imperial power.;;;;;;;;;x 
EVTNAMELoR.40;The Imperial Borders Are Restored;;;;;;;;;x 
EVTDESCLoR.40;The story of the Roman Empire's glorious recovery will be told throughout the ages. Those unfortunate enough to have lived through the black days when barbarians sacked Rome at will or the Arab invaders swept in from the desert would not have dared dream of this day. All of the old provinces have been reclaimed and the Empire now stretches farther than it has in nearly a thousand years.\n\nChurch bells across Europe are ringing to celebrate this momentous occasion and men and women in both Rome and Constantinople are weeping tears of joy. It will be a challenge to keep an empire of this scale together, but for the sake of all humanity you must succeed, lest the world plunge into yet another dark age of ignorance and barbarity bereft of Rome's guiding light.;;;;;;;;;x 
EVTOPTALoR.40;The Empire will not fall again.;;;;;;;;;x 
EVTDESCLoR.200;With the city back under East Roman control, the Patriarchate of Antioch has been properly restored as one of the episcopal sees of the Pentarchy in the Eastern Orthodox Church. It was originally founded by Saint Peter the Apostle, who is regarded as the first Pope by the Western Catholic Church.;;;;;;;;;x 
EVTOPTALoR.200;God be praised!;;;;;;;;;x 
EVTDESCLoR.201;With the city back under East Roman control, the Patriarchate of Jerusalem has been properly restored as one of the episcopal sees of the Pentarchy in the Eastern Orthodox Church. It was originally founded by Saint James the Just, who was made head of the Church in Jerusalem soon after the death of Jesus.;;;;;;;;;x 
EVTDESCLoR.202;With the city back under East Roman control, the Patriarchate of Alexandria has been properly restored as one of the episcopal sees of the Pentarchy in the Eastern Orthodox Church. It was originally founded by Saint Mark the Evangelist, who became Alexandria's first patriarch.;;;;;;;;;x 
EVTDESCLoR.203;With the city back under East Roman control, the Patriarchate of Rome has been properly restored as one of the episcopal sees of the Pentarchy in the Eastern Orthodox Church. If all five historical patriarchates are returned to the Pentarchy, the Great Schism between the Eastern and Western churches may finally be mended.;;;;;;;;;x 
mend_great_schism;Mend the Great Schism;;;;;;;;;x 
mend_great_schism_desc;The Great Schism saw the Christian Church divided into two branches, but if all five of the episcopal sees of the Pentarchy could be restored under Roman rule and the Orthodox faith, there may be a chance to finally reunite Christendom.;;;;;;;;;x 
EVTTOOLTIPLoR.210;The Great Schism is mended and Christendom reunited.;;;;;;;;;x 
EVTNAMELoR.210;The Great Schism Mended;;;;;;;;;x 
EVTDESCLoR.210;At last the Great Schism between the Western Catholic Church and the Eastern Orthodox Church has been mended. With the spread of Orthodoxy and the reunification of the Pentarchy, including the vital episcopal see of Rome, the Catholic faith now holds little sway over the people of Europe. There will be those who still cling to it, but they will be few in number and the Pentarchy can once more claim universal rule over all of Christendom.;;;;;;;;;x 
EVTOPTALoR.211;If that's the way the wind is blowing...;;;;;;;;;x 
EVTOPTBLoR.211;I will never give up my faith!;;;;;;;;;x 
EVTNAMELoR.400;An Innocent Proposal;;;;;;;;;x 
EVTDESCLoR.400;One day in the Imperial Palace, while surrounded by shouting advisors waving decrees and edicts that demand your signature, a small man approaches claiming to be a representative of the Venetoi - the "Blues," one of the two major chariot teams racing in Constantinople. They no longer have the political influence they enjoyed in the days of Justinian the Great, but they are still popular with the broad masses. You wave your advisors away and decide to hear him out.\n\nThe man introduces himself as Anaximandros and explains that he has a proposal for you. If you race for the Blues in the grand chariot race next week, he and his associates will make certain you win. You both stand to gain from this, with the glorious [Root.GetTitle] winning as a champion of the great Blue team.;;;;;;;;;x 
EVTOPTALoR.400;An intriguing proposal... count me in.;;;;;;;;;x 
EVTOPTBLoR.400;By cheating? No thanks.;;;;;;;;;x 
hippodrome_refuse;You refuse to take part in this scheme.;;;;;;;;;x 
EVTTOOLTIPLoR.401;You practise chariot racing.;;;;;;;;;x 
EVTNAMELoR.401;Practise Makes Perfect;;;;;;;;;x 
EVTDESCLoR.401;You practise hard at chariot racing to better prepare for the upcoming event at the Hippodrome. Despite managing well enough and only falling off the chariot a handful of times, you simply cannot see how you are supposed to beat the other professional racers. When you mention this to Anaximandros, the little gnome of a man smiles and tells you not to worry. He assures you that the Greens, your main opponents, will not be a problem, and the other Blue racers have been instructed to let you win.\n\n"You had better be right about this," you tell Anaximandros. "If I am made to look the fool, I swear I will not be the only one to suffer.";;;;;;;;;x 
EVTOPTALoR.401;Let us get this over with.;;;;;;;;;x 
hippodrome_tooltip;To the Hippodrome!;;;;;;;;;x 
EVTNAMELoR.402;The Day of the Race;;;;;;;;;x 
EVTDESCLoR.402;It is a fine day for racing and the Hippodrome is packed with people wanting to see their [Root.GetTitle] conquer... or fail miserably in the attempt. Spyridon, the star of the Greens, looks at you with scorn as your chariots line up. "I shall endeavour not to embarrass you too much, Your Imperial Majesty," he says through clenched teeth.\n\nThe trumpets blow, and the race begins! One by one, the Green chariots fall apart and topple over, giving you a clear path. Only Spyridon's armored chariot remains of the Green team, but as your Blue allies move to block him, their chariots disintegrate as well. It seems both teams had the same idea. Still, you skillfully navigate through the wreckage and manage to hold off Spyridon long enough to win the race!;;;;;;;;;x 
EVTOPTALoR.402;Victory, but not thanks to Anaximandros!;;;;;;;;;x 
EVTNAMELoR.403;The Day of the Race;;;;;;;;;x 
EVTDESCLoR.403;It is a fine day for racing and the Hippodrome is packed with people wanting to see their [Root.GetTitle] conquer... or fail miserably in the attempt. Spyridon, the star of the Greens, looks at you with scorn as your chariots line up. "I shall endeavour not to embarrass you too much, Your Imperial Majesty," he says through clenched teeth.\n\nThe trumpets blow, and the race begins! One by one, the Green chariots fall apart and topple over, giving you a clear path. Only Spyridon's armored chariot remains of the Green team, but as your Blue allies move to block him, their chariots disintegrate as well. It seems both teams had the same idea. Without their aid, Spyridon steers his chariot past you and wins the race!;;;;;;;;;x 
EVTOPTALoR.403;Defeat! Anaximandros will pay!;;;;;;;;;x 
EVTNAMELoR.404;The Day of the Race;;;;;;;;;x 
EVTDESCLoR.404;It is a fine day for racing and the Hippodrome is packed with people wanting to see their [Root.GetTitle] conquer... or fail miserably in the attempt. Spyridon, the star of the Greens, looks at you with scorn as your chariots line up. "I shall endeavour not to embarrass you too much, Your Imperial Majesty," he says through clenched teeth.\n\nThe trumpets blow, and the race begins! One by one, the Green chariots fall apart and topple over, giving you a clear path. Only Spyridon's armored chariot remains of the Green team, but as your Blue allies move to block him, their chariots disintegrate as well. It seems both teams had the same idea. The furious crowds storm the arena in disgust at this blatant attempt by both teams to cheat!;;;;;;;;;x 
EVTOPTALoR.404;Back! Back, I say!;;;;;;;;;x 
EVTTOOLTIPLoR.405;The chariot race has concluded.;;;;;;;;;x 
EVTNAMELoR.405;Another Proposal...;;;;;;;;;x 
EVTDESCLoR.405;As you walk at a brisk pace through an empty corridor in the Imperial Palace, on your way to another tiring meeting with your advisors, you hear a faint whisper from one of the window curtains. After readying your dagger you pull the curtains aside to reveal Anaximandros, the gnome-man who recruited you into chariot racing!\n\n"You! I should have you drawn and quartered," you hiss at the man. "The entire Blue team had their chariots fall out from under them!" Anaximandros smiles at you, and speaks: "Calm yourself, Majesty. Your chariot held together, did it not? I have a new and cunning plan for the next race - one that cannot fail. Your epic victory will be celebrated for centuries to come.";;;;;;;;;x 
EVTOPTALoR.405;I may regret this, but I will join this scheme.;;;;;;;;;x 
EVTOPTBLoR.405;Not interested. Guards, haul this wretched creature away!;;;;;;;;;x 
hippodrome_refuse_second;Anaximandros is thrown into the dungeons and you put this vile scheme behind you for good.;;;;;;;;;x 
EVTTOOLTIPLoR.406;You resume your training.;;;;;;;;;x 
EVTNAMELoR.406;Training Resumes;;;;;;;;;x 
EVTDESCLoR.406;You resume your chariot training and although you are an even better racer now, it still may not be enough to best the other competitors, many of whom have been driving chariots since early childhood. Anaximandros approaches to tell you of his new scheme.\n\n"Behold, Majesty," he says, and produces a small bottle from within his cloak. "One drop of this concoction, which my associates and I only acquired at great cost I might add, is enough to send a man running for the latrines within minutes. Each member of the Green team will be offered some spiced wine by their quartermaster - a man in our employ - just before the race is about to begin. I think you can see where I am going with this, Your Grace...";;;;;;;;;x 
EVTOPTALoR.406;Good. This might actually work!;;;;;;;;;x 
EVTNAMELoR.407;The Day of the Second Race;;;;;;;;;x 
EVTDESCLoR.407;Once again you ride into the Hippodrome in your chariot to the cheers of the people. It looks like nearly all of Constantinople has turned up for this momentous race. Spyridon, your old nemesis, is instructing the rest of the Green team when their quartermaster offers them a sip of wine to fortify their resolve. All accept this offer, except Spyridon. Instead, he loudly proclaims, he will offer his wine to the Blue team who need it more. Before you can object, the other Blue racers happily share the wine between them...\n\nThe trumpets blare and the race begins. Within seconds the first few racers leap off their chariots, sprinting for the latrines. Soon only you and Spyridon remain. Fortune favours you, however, as Spyridon collides with the last racer to abandon his chariot. This delays him enough to grant you victory!;;;;;;;;;x 
EVTOPTALoR.407;Victory, but no thanks to Anaximandros!;;;;;;;;;x 
EVTNAMELoR.408;The Day of the Second Race;;;;;;;;;x 
EVTDESCLoR.408;Once again you ride into the Hippodrome in your chariot to the cheers of the people. It looks like nearly all of Constantinople has turned up for this momentous race. Spyridon, your old nemesis, is instructing the rest of the Green team when their quartermaster offers them a sip of wine to fortify their resolve. All accept this offer, except Spyridon. Instead, he loudly proclaims, he will offer his wine to the Blue team who need it more. Before you can object, the other Blue racers happily share the wine between them...\n\nThe trumpets blare and the race begins. Within seconds the first few racers leap off their chariots, sprinting for the latrines. Soon only you and Spyridon remain and sadly for you, he proves to be the better chariot racer. He overtakes you in the final lap and rides his chariot to victory.;;;;;;;;;x 
EVTOPTALoR.408;Confound it all!;;;;;;;;;x 
EVTNAMELoR.409;The Day of the Second Race;;;;;;;;;x 
EVTDESCLoR.409;Once again you ride into the Hippodrome in your chariot to the cheers of the people. It looks like nearly all of Constantinople has turned up for this momentous race. Spyridon, your old nemesis, is instructing the rest of the Green team when their quartermaster offers them a sip of wine to fortify their resolve. All accept this offer, except Spyridon. Instead, he loudly proclaims, he will offer his wine to the Blue team who need it more. Before you can object, the other Blue racers happily share the wine between them...\n\nThe trumpets blare and the race begins. Within seconds the first few racers leap off their chariots, sprinting for the latrines. Soon only you and Spyridon remain, but the crowd is up in arms over this disgraceful display. It is obvious to all that foul play is involved. They jump into the arena!;;;;;;;;;x 
EVTOPTALoR.409;Back, knaves!;;;;;;;;;x 
EVTNAMELoR.410;One Sunny Afternoon...;;;;;;;;;x 
EVTDESCLoR.410;You enjoy a quiet moment away from your advisors under the shade of a tree in the palatial garden. A sound from above catches your attention, and as you look up you spot Anaximandros, the chariot gnome, hiding on a branch. "Your Grace," he whispers with a smile. "Before I suffer your wrath, I ask that you hear me out."\n\nHe scurries down from the tree and gives you his new offer. "Fate may have conspired against us in the past, Majesty, but this time my plan is foolproof." He flashes a toothless grin, the closest he can manage to a winning smile. "Third time's the charm, eh, Your Majesty? What do you say?";;;;;;;;;x 
EVTOPTALoR.410;It had better be. I am in.;;;;;;;;;x 
EVTOPTBLoR.410;You must be joking. Guards!;;;;;;;;;x 
EVTNAMELoR.411;The Chariot;;;;;;;;;x 
EVTDESCLoR.411;Anaximandros brings you to a small workshop in one of the seedier districts of Constantinople. Here, he explains, they will weaponize your chariot. While you watch, the craftsmen install a pair of extendable metal blades into its chassis, intended to shred the wheels of any chariot adjacent to yours.\n\nYou train extensively with the new chariot until you have mastered its new weapons. As you are about to leave for the Hippodrome on the eve of the race, Anaximandros hands you a flanged mace. "For good measure," he explains.;;;;;;;;;x 
EVTOPTALoR.411;Let us hope it does not come to that.;;;;;;;;;x 
EVTNAMELoR.412;The Day of the Third Race;;;;;;;;;x 
EVTDESCLoR.412;This is it, the final race of the season. The Hippodrome is filled to capacity and a deafening roar greets you as you ride your chariot into the arena. You line up next to Spyridon, your old foe from the Greens and the crowd's favorite. "Your Majesty," he says and spits on the ground.\n\nThe trumpets blow and the race begins, but it seems you weren't the only one to have brought arms. Everything turns into a huge melee as all the drivers hack and slash at each other using both handheld and chariot-mounted weaponry. Anaximandros has played both sides against each other - there can be no other explanation. The situation escalates further when the agitated crowds enter the fray. You spot Anaximandros climbing into Spyridon's chariot, and the two of them escape the Hippodrome through the unguarded exit.;;;;;;;;;x 
EVTOPTALoR.412;Give chase!;;;;;;;;;x 
EVTOPTBLoR.412;Stay behind.;;;;;;;;;x 
EVTTOOLTIPLoR.413;You remain at the Hippodrome to stifle this riot.;;;;;;;;;x 
EVTNAMELoR.413;Aftermath;;;;;;;;;x 
EVTDESCLoR.413;As Spyridon and the traitor Anaximandros depart the Hippodrome leaving nothing but chaos in their wake, you rally the Varangian Guard to your side. Together with a squadron of cataphracts from the nearby garrison you finally manage to bring order to the madness. The cost of life is great, especially amongst the audience, but it can't be helped.\n\nYour career as a chariot racer is over, but despite everything, you have emerged through all this as the strongwilled leader many feel the Empire needs. You wonder what possible motive compelled Anaximandros to turn the Blue and Green factions against each other in open battle. For how long did he mastermind events with that purpose in mind? You will likely never know. He is now a wanted man throughout the Empire.;;;;;;;;;x 
EVTOPTALoR.413;Bloody gnome.;;;;;;;;;x 
EVTTOOLTIPLoR.414;You pursue them outside the Hippodrome.;;;;;;;;;x 
EVTNAMELoR.414;The Chase Is On;;;;;;;;;x 
EVTDESCLoR.414;You leave the madness of the Hippodrome behind and steer your chariot out into the streets of Constantinople, in hot pursuit of Spyridon and the traitor Anaximandros. With blades unfolded, your chariot smashes through market stalls and pottery in the narrow back alleys while a hissing Anaximandros tries to give you a taste of the whip, without success.\n\nYou rush past the Hagia Sophia and onto the Augustaion square as terrified priests scramble to get out of the way. With a sharp turn you continue forward on the Mese, the main thoroughfare, and speed past oxcarts and the Forum of Constantine before Spyridon abruptly turns north, towards the Golden Horn. He finally loses control of his chariot at the docks, and it crashes into some stacked crates. You step out of your chariot and draw your mace.;;;;;;;;;x 
EVTOPTALoR.414;Give no quarter.;;;;;;;;;x 
EVTOPTBLoR.414;Show mercy.;;;;;;;;;x 
EVTTOOLTIPLoR.416;You show mercy.;;;;;;;;;x 
EVTNAMELoR.415;No Quarter Given;;;;;;;;;x 
EVTDESCLoR.415;Spyridon has been impaled on a nearby fence and his dead eyes glare at you accusingly. Anaximandros, however, lies wheezing on the docks with a broken leg. He curses your name as you approach him with your mace. "Why do all this?" you ask him. "What could you possibly gain?"\n\nThe little man grins wryly at you. "Eons ago, there were four chariot racing teams: the Blues, the Greens, the Whites and the Reds. Then the two most powerful teams all but absorbed the two weakest. Who speaks of the Whites today? Or the Reds? Where is their glory? The domination of the Blues and Greens had to end, Majesty. At any cost. If my nephew Spyridon and I could get them to wipe each other out..." You have heard enough. With a single blow, your mace forever silences Anaximandros.;;;;;;;;;x 
EVTOPTALoR.415;One less headache for me.;;;;;;;;;x 
EVTTOOLTIPLoR.415;You show no mercy.;;;;;;;;;x 
EVTNAMELoR.416;Quarter Is Given;;;;;;;;;x 
EVTDESCLoR.416;Spyridon has been impaled on a nearby fence and his dead eyes glare at you accusingly. Anaximandros, however, lies wheezing on the docks with a broken leg. He curses your name as you approach him with your mace. "Why do all this?" you ask him. "What could you possibly gain?"\n\n The little man grins wryly at you. "Eons ago, there were four chariot racing teams: the Blues, the Greens, the Whites and the Reds. Then the two most powerful teams all but absorbed the two weakest. Who speaks of the Whites today? Or the Reds? The domination of the Blues and Greens had to end, Majesty. At any cost. If my nephew Spyridon and I could get them to wipe each other out..." You have heard enough. Varangian Guardsmen on horseback finally catch up with you and are instructed to take Anaximandros away.;;;;;;;;;x 
EVTOPTALoR.416;And throw away the key.;;;;;;;;;x 
EVTTOOLTIPLoR.417;Constantinople is engulfed in riots!;;;;;;;;;x 
hippodrome_riots;The city is beset by rioters and hooligans.;;;;;;;;;x 
EVTNAMELoR.417;Riots in Constantinople;;;;;;;;;x 
EVTDESCLoR.417;Members of the Varangian Guard leap into the arena in defense of their [Root.GetTitle] and swiftly cut down those rioters foolish enough to approach your chariot. They rush you to the safety of your palace, but the rest of Constantinople burns when the upset crowds spill out of the Hippodrome and onto the streets. As you watch the fires spread from your palatial balcony, you raise your fists to the heavens and bellow at the top of your lungs:\n\n"AAANNNNAAAXIMANDROOOS!!!!!!!!!!!!!!";;;;;;;;;x 
EVTOPTALoR.417;When I get my hands on him...;;;;;;;;;x 
EVTDESCLoR.500;Chariot races are scheduled to be held soon at the Hippodrome. Eight charioteers from the traditional Blue and Green teams will be competing for glory on the track. You may choose to throw your weight behind one of these factions and bet on them in a show of support.;;;;;;;;;x 
EVTOPTALoR.500;Support the Blues.;;;;;;;;;x 
EVTOPTBLoR.500;Support the Greens.;;;;;;;;;x 
EVTOPTCLoR.500;I have no time for silly games.;;;;;;;;;x 
hippodrome_nobet;You wash your hands of chariot racing.;;;;;;;;;x 
EVTTOOLTIPLoR.501;the Blue team winning.;;;;;;;;;x 
EVTDESCLoR.501;It was close, but the Blue team emerged as the winner after a tense final lap. Their triumphant charioteer makes a victory lap to the cheers of the ecstatic crowds. When he passes your seat he bows his head as a sign of respect and gratitude.;;;;;;;;;x 
EVTOPTALoR.501;I know how to pick a winner.;;;;;;;;;x 
EVTTOOLTIPLoR.502;the Blue team losing.;;;;;;;;;x 
EVTDESCLoR.502;The Blue team lost the race after a nail-biting final lap. To the cheers of the crowd, the triumphant Green charioteer makes a victory lap. As he passes your seat, he flashes a gloating smile and gives you a little wave. Fortunately, your quick-thinking servants remove your wine cup before you can hurl it at him.;;;;;;;;;x 
EVTOPTALoR.502;That little...!;;;;;;;;;x 
EVTTOOLTIPLoR.503;the Green team winning.;;;;;;;;;x 
EVTDESCLoR.503;It was close, but the Green team emerged as the winner after a tense final lap. Their triumphant charioteer makes a victory lap to the cheers of the ecstatic crowds. When he passes your seat he bows his head as a sign of respect and gratitude.;;;;;;;;;x 
EVTOPTALoR.503;I know how to pick a winner.;;;;;;;;;x 
EVTTOOLTIPLoR.504;the Green team losing.;;;;;;;;;x 
EVTDESCLoR.504;The Green team lost the race after a nail-biting final lap. To the cheers of the crowd, the triumphant Blue charioteer makes a victory lap. As he passes your seat, he flashes a gloating smile and gives you a little wave. Fortunately, your quick-thinking servants remove your wine cup before you can hurl it at him.;;;;;;;;;x 
EVTOPTALoR.504;That little...!;;;;;;;;;x 
EVTDESCLoR.800;One of the eunuchs at the Imperial Court has distinguished himself and caught the attention of your advisors. Though they are usually of the jealous kind and loathe to admit redeeming qualities in others, even they cannot deny the promise of this young man.;;;;;;;;;x 
EVTOPTALoR.800;Very well. Bring this man before me.;;;;;;;;;x 
EVTOPTBLoR.800;He should be cleaning floors and watching over women.;;;;;;;;;x 
introduce_eunuch;Your servants leave to fetch the eunuch.;;;;;;;;;x 
no_to_eunuchs;You refuse to deal with this eunuch.;;;;;;;;;x 
EVTDESCLoR.801;The eunuch is brought and you can immediately tell there is a keen intelligence behind the young man's eyes. His loyalty to you is without question, and here is a man who cannot be seduced by the wiles of women or turned against you by dynastic ties. Despite his few years, he has already won renown for his martial ability.;;;;;;;;;x 
EVTOPTALoR.801;You will serve me well.;;;;;;;;;x 
