pelagianism_DESC;Pelagianism is the belief that original sin did not taint human nature and that mortal will is still capable of choosing good or evil without special Divine aid. This theological theory is named after the British monk Pelagius (354–420, possibly 440), although he denied, at least at some point in his life, many of the doctrines associated with his name. Pelagius taught that the human will, as created with its abilities by God, was sufficient to live a sinless life Pelagianism was declared a heresy at the Council of Ephesus in 361, and subsequently suppressed.;;;;;;;;;x 
adoptionism;Adoptionist;;;;;;;;;x 
adoptionism_DESC;Adoptionism is a nontrinitarian theological teaching that Jesus was adopted as God's Son at either his baptism, his resurrection, or his ascension. According to Epiphanius's account of the Ebionites, the group believed that Jesus was chosen because of his sinless devotion to the will of God. Adoptionism was declared a heresy at the end of the 2nd century and was rejected by the Synods of Antioch and the First Council of Nicaea, which defined the orthodox doctrine of the Trinity and identified the man Jesus with the eternally begotten Son or Word of God.;;;;;;;;;x 
sabellianism;Sabellian;;;;;;;;;x 
sabellianism_DESC;In Christianity, Sabellianism (Also known as modalism, modalistic monarchianism, or modal monarchism) is the nontrinitarian belief that the Heavenly Father, Resurrected Son, and Holy Spirit are three different modes or aspects of one monadic God, as perceived by the believer, rather than three distinct persons within the Godhead—that there are no real or substantial differences among the three, such that there is no substantial identity for the Spirit or the Son. The term Sabellianism comes from Sabellius, who was a theologian and priest from the 3rd century.;;;;;;;;;x 
macedonianism;Macedonian;;;;;;;;;x 
macedonianism_DESC;The Macedonians (Named after Macedonius I, the third archbishop of Constantinople) Pneumatomachi, or Semi-Arians as they were known in Constantinople, were an anti-Nicene Creed sect which flourished in the countries adjacent to the Hellespont during the latter half of the fourth, and the beginning of the fifth century. They denied the Godhead of the Holy Ghost, hence the Greek name Pneumatomachi (Combators against the Spirit). The Pneumatomachi were denounced in 374 by Pope Damasus I, and eventually suppressed during the reign of Emperor Theodosius I (369 - 395).;;;;;;;;;x 
valentinianism;Valentinian;;;;;;;;;x 
valentinianism_DESC:Valentinianism is a Gnostic Christian movement that was founded by Valentinus in the second century AD. Valentinianism was one of the major Gnostic movements, and its influence was extremely widespread, not just within Rome, but also in Egypt, Asia Minor, Syria in the east, and Northwest Africa. Later in the movement’s history, it broke into two schools, an Eastern school and a Western school. Disciples of Valentinus continued to be active into the 4th century AD, after the Roman Empire was declared to be Christian, but was eventually suppressed by Imperial authorities.;;;;;;;;;;x 
GOSPEL_OF_PHILIP;Gospel of Philip;;;;;;;;;x 
THE_AEONS;the Aeons;;;;;;;;;x 
OGDOAD;Ogdoad;;;;;;;;;x 
SOPHIA;Sophia;;;;;;;;;x 
LOGOS;Logos;;;;;;;;;x 
