EVTDESCPA.10000;You are the current ruler of the glorious Roman Empire. May your reign be a prosperous one!;;;;;;;;;x 
EVTDESCPA.10024;The imperial guard hurries down-town to help the city watch contain the fire. The combined forces are able to put out the blaze and save the city, earning you the gratitude of it's citizens.;;;;;;;;;x 
EVTNAMEPA.10025;Rome Destroyed;;;;;;;;;x 
EVTDESCPA.10025;You leave your palace along with your guards as the city burns. The city watch is unable to contain the blaze, which eventually burns much of Rome to the ground, killing thousands of people.;;;;;;;;;x 
opinion_saved_rome;Saved Rome;;;;;;;;;x 
opinion_destroyed_rome;Destroyed Rome;;;;;;;;;x 
e_bulgaria;Bulgaria;;;;;;;;;x 
e_bulgaria_adj;Bulgarian;;;;;;;;;x 
e_serbia;Serbia;;;;;;;;;x 
e_serbia_adj;Serbian;;;;;;;;;x 
form_bulgarian_empire;Form the Bulgarian Empire;;;;;;;;;x 
form_bulgarian_empire_desc;Form the Bulgarian Empire.;;;;;;;;;x 
form_serbian_empire;Form the Serbian Empire;;;;;;;;;x 
form_serbian_empire_desc;Form the Serbian Empire.;;;;;;;;;x 
county_of_irish;Túath of;;;;;;;;;x 
count_irish;Tiarna;;;;;;;;;x 
count_female_irish;Bhean;;;;;;;;;x 
empire_of_norse_pagan;Kingdom of;;;;;;;;;x 
emperor_norse_pagan;Great King;;;;;;;;;x 
emperor_female_norse_pagan;Great Queen;;;;;;;;;x 
empire_of_norse_pagan_reformed;Kingdom of;;;;;;;;;x 
emperor_norse_pagan_reformed;Great King;;;;;;;;;x 
emperor_female_norse_pagan_reformed;Great Queen;;;;;;;;;x 
empire_of_baltic_pagan;Kingdom of;;;;;;;;;x 
emperor_baltic_pagan;Great King;;;;;;;;;x 
emperor_female_baltic_pagan;Great Queen;;;;;;;;;x 
empire_of_finnish_pagan;Kingdom of;;;;;;;;;x 
emperor_finnish_pagan;Great King;;;;;;;;;x 
emperor_female_finnish_pagan;Great Queen;;;;;;;;;x 
empire_of_finnish_pagan_reformed;Kingdom of;;;;;;;;;x 
emperor_finnish_pagan_reformed;Great King;;;;;;;;;x 
emperor_female_finnish_pagan_reformed;Great Queen;;;;;;;;;x 
empire_of_slavic_pagan;Kingdom of;;;;;;;;;x 
emperor_slavic_pagan;Great King;;;;;;;;;x 
emperor_female_slavic_pagan;Great Queen;;;;;;;;;x 
empire_of_slavic_pagan_reformed;Kingdom of;;;;;;;;;x 
emperor_slavic_pagan_reformed;Great King;;;;;;;;;x 
emperor_female_slavic_pagan_reformed;Great Queen;;;;;;;;;x 
CB_IMPERIAL_DIGNITY;War of Imperial Dignity;;;;;;;;;x 
imperial_dignity_desc;We will not tolerate pretenders to our title! Defeat §Y$TARGET$§! and cast their title into the dirt!;;;;;;;;;x 
WAR_NAME_IMPERIAL_DIGNITY;$ORDER$$FIRST_ADJ$ War of Imperial Dignity;;;;;;;;;x 
BM_THE_MACEDONIAN;The Macedonian;;;;;;;;;x 
BM_THE_MACEDONIAN_DESC;Basil the Macedonian has just murdered Emperor Michael III and taken the Imperial throne for himself. While Sicily may be under threat, the collapse of the Abbasid Caliphate could allow the Empire a chance to recover lost territory. In the north, the Great Heathen Army has killed King Ælla of Northumbria and placed the puppet Ecgberht on the throne. The Norse forces are mow poised to move south to conquer Wessex, Mercia, and East Anglia. Will Britain fall to the Norse invaders, or will they finally be defeated?;;;;;;;;;x 
temple_king_imperial;Catholicos;;;;;;;;;x 
temple_kingdom_of_imperial;Catholicate of;;;;;;;;;x 
temple_king_monothelite;Patriarch;;;;;;;;;x 
temple_kingdom_of_monothelite;Patriarchate of;;;;;;;;;x 
temple_king_monophysite;Catholicos;;;;;;;;;x 
temple_kingdom_of_monophysite;Catholicate;;;;;;;;;x 
temple_king_tondrakian;Catholicos;;;;;;;;;x 
temple_kingdom_of_tondrakian;Catholicate;;;;;;;;;x 
temple_king_nestorian;Catholicos;;;;;;;;;x 
temple_kingdom_of_nestorian;Catholicate of;;;;;;;;;x 
temple_king_eutychian;Catholicos;;;;;;;;;x 
temple_kingdom_of_eutychian;Catholicate of;;;;;;;;;x 
temple_king_messalian;Catholicos;;;;;;;;;x 
temple_kingdom_of_messalian;Catholicate of;;;;;;;;;x 
temple_duke_imperial;Archbishop;;;;;;;;;x 
temple_duchy_of_imperial;Archdiocese of;;;;;;;;;x 
temple_count_imperial;Metropolitan;;;;;;;;;x 
temple_county_of_imperial;Metropolis of;;;;;;;;;x 
temple_duchy_of_miaphysite;Metropolis of;;;;;;;;;x 
temple_duchy_of_apostolic;Metropolis of;;;;;;;;;x 
temple_duke_monothelite;Archbishop;;;;;;;;;x 
temple_duchy_of_monothelite;Archdiocese of;;;;;;;;;x 
temple_count_monothelite;Metropolitan;;;;;;;;;x 
temple_county_of_monothelite;Metropolis of;;;;;;;;;x 
temple_duchy_of_monophysite;Metropolis of;;;;;;;;;x 
temple_duchy_of_tondrakian;Metropolis of;;;;;;;;;x 
temple_duke_iconoclast;Archbishop;;;;;;;;;x 
temple_duchy_of_iconoclast;Archdiocese of;;;;;;;;;x 
temple_count_iconoclast;Metropolitan;;;;;;;;;x 
temple_county_of_iconoclast;Metropolis of;;;;;;;;;x 
temple_duke_bogomilist;Archbishop;;;;;;;;;x 
temple_duchy_of_bogomilist;Archdiocese of;;;;;;;;;x 
temple_count_bogomilist;Metropolitan;;;;;;;;;x 
temple_county_of_bogomilist;Metropolis of;;;;;;;;;x 
EVTNAMEPA.10026;The Imperial Borders Are Restored;;;;;;;;;x 
EVTDESCPA.10026;The borders the Byzantine Empire claimed under Emperor Justinian have been restored at last! Grain flows once more to the Empire's cities and the Imperial navy rules unchallenged in the Mediterranean. Church bells ring out as cheers erupt across the Empire to celebrate it's new found vigour and prosperity. It won't be an easy job to keep an empire of this size together, but you must succeed, lest the world enter another Dark Age.;;;;;;;;;x 
EVTNAMEPA.10027;St Blaise's Knights;;;;;;;;;x 
EVTDESCPA.10027;In an effort to secure Armenia and protect their flock from foreign invaders, the bishops of the Apostolic Church have sanctioned the creation of a military order, the Knights of Saint Blaise. Church bells all over Armenia ring out as the knights march to their garrisons to protect their homeland and their faith. Historically, the Order of Saint Blaise was formed in the 12th century to safeguard Armenia against the Turks. It operated for over a century, disappearing after the conquest of Armenia by the Seljuks.;;;;;;;;;x 
EVTNAMEPA.10028;Reconquest of Damascus;;;;;;;;;x 
EVTDESCPA.10028;The city of Damascus has been recovered from the foreign barbarians at last. Once the capital of the Roman province of Syria, the city was lost to the Rashidun Caliphate in 636 after the Battle of Yaromuk. Although the city may not be as large and prosperous as it was during Roman times, its strategic location should allow it to become an important garrison base for the soldiers of the Imperial army once more.;;;;;;;;;x 
EVTNAMEPA.10029;Reconquest of Ravenna;;;;;;;;;x 
EVTDESCPA.10029;The city of Ravenna has been recovered from the foreign barbarians at last. Once the capital of the Exarchate of Ravenna, the city was lost to the Lombards in 751, only to fall to the Franks in 756 after the death of Archbishop Eutychius. Although the city itself is longer connected to the Adriatic as it was during Justinian's time, the many ports nearby should allow it to become a key city in the Empire once more.;;;;;;;;;x 
EVTNAMEPA.10030;Reconquest of Carthage;;;;;;;;;x 
EVTDESCPA.10030;The city of Carthage has been recovered from the foreign barbarians at last. Once the capital of the Exarchate of Africa, the city was lost to the Umayyad Caliphate in 698 after the Battle of Carthage. Although the city's importance has declined since the founding of the city of Tunis nearby, its key location on the Mediterranean coast should allows it to become a important trading city in the Empire once more.;;;;;;;;;x 
apostolic;Apostolic;;;;;;;;;x 
apostolic_DESC;Apostolic Christians are members of the Armenian Church, which has many similarities to the Egyptian Church. Apostolic Christians hold a similar position to Coptic Christians, believing Christ to have had a single nature, but of both human and divine character. The head of the Apostolic Church is the Catholicos of Armenian, who traditionally sits in Etchmiadzin Cathederal.;;;;;;;;;x 
k_apostolic;The Apostolic Church;;;;;;;;;x 
k_apostolic_adj;Apostolic;;;;;;;;;x 
CATHOLICOS;Catholicos;;;;;;;;;x 
convert_to_spouse_apostolic;Convert to Apostolic;;;;;;;;;x 
convert_to_spouse_apostolic_desc;The pillow talk of a spouse or concubine can be very persuasive. This White Christ does not sound very warlike though...;;;;;;;;;x 
convert_to_spouse_imperial;Convert to Imperial;;;;;;;;;x 
convert_to_spouse_imperial_desc;The pillow talk of a spouse or concubine can be very persuasive. This White Christ does not sound very warlike though...;;;;;;;;;x 
d_saint_blaise;Order of Saint Blaise;;;;;;;;;x 
d_saint_blaise_adj;St Blaise's Knights;;;;;;;;;x 
expelled_d_saint_blaise;Expelled St Blaise's Knights;;;;;;;;;x 
expelled_d_saint_peter;Expelled St Peter's Knights;;;;;;;;;x 
expel_blaise_knights;Expel St Blaise's Knights;;;;;;;;;x 
expel_peter_knights;Expel St Peter's Knights;;;;;;;;;x 
expel_blaise_knights_desc;I can drive St Blaise's Knights from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;x 
expel_peter_knights_desc;I can drive St Peter's Knights from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;x 
donate_money_to_blaise_knights;Donate money to St Blaise's Knights.;;;;;;;;;x 
donate_money_to_blaise_knights_desc;I can donate money to St. Blaise's Knights in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.;;;;;;;;;x 
donate_money_to_peter_knights;Donate money to St Peter's Knights.;;;;;;;;;x 
donate_money_to_peter_knights_desc;I can donate money to St Peter's Knights in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.;;;;;;;;;x 
k_imperial;The Imperial Papacy;;;;;;;;;x 
k_imperial_adj;Imperial Papacy;;;;;;;;;x 
d_saint_peter;Order of Saint Peter;;;;;;;;;x 
d_saint_peter_adj;St Peter's Knights;;;;;;;;;x 
EVTNAMEPA.10033;St Peter's Knights;;;;;;;;;x 
EVTDESCPA.10033;Even though it may enjoy Christendom's support, the Roman Imperial Church's position is tenuous at best, with many within Chistendom following the words of heretics and infidels. In an effort to secure it's position and spread the true faith, the bishops of the Imperial Church have sanctioned the creation of a holy order, the Knights of Saint Peter. Church bells ring out as the knights march to their garrisons, ready to defend their faith from infidels and heretics alike.;;;;;;;;;x 
EVTNAMEPA.10034;Imperial Crusades;;;;;;;;;x 
EVTDESCPA.10034;With the Roman Imperial Church under threat from heretics and infidels alike, the bishops of the Pentarchy have accepted the possibility that an outright invasion of foreign lands may be necessary. Although the Roman Imperial Church has never been supportive of the concept of holy war, at least in the past, the threat to the church is so great that it has been forced to change its position. A new era of Christian expansion has begun, with the Roman Imperial Church at the forefront.;;;;;;;;;x 
CB_NAME_SUBJUGATION;Imperial Subjugation of [Title.GetBaseName];;;;;;;;;x 
WAR_NAME_SUBJUGATION;$ORDER$$FIRST_ADJ$ Imperial Subjugation of $OTHER_TITLE$;;;;;;;;;x 
imperial_subjugation_desc;We are the true heirs of Rome, and our empire should reflect this! $CLAIMANT$§! can use this Casus Belli to seize all titles held by §Y$TARGET$§! within the de jure §Y$TITLE$§!;;;;;;;;;x 
EVTDESCPA.10035;The treasury is empty and the Empire is deep in debt. You could make quite a bit of money if you were to sell the Crown of Thorns to a Western monarch, but it won't do wonders for your prestige.;;;;;;;;;x 
EVTDESCPA.10036;The treasury is empty and the Empire is once again in debt. You could make some money if you were to sell the lead tiles on the roof of the Great Palace, but it won't do wonders for your prestige.;;;;;;;;;x 
EVTNAMEPA.10037;Fall of Thessalonika;;;;;;;;;x 
EVTDESCPA.10037;The city of Thessalonika has finally fallen to our forces and accepted [Root.GetTitledFirstName]'s rule. Named after Thessalonike, the wife of the diadochi Cassander, the city of Thessalonika flourished under Roman rule. It was one of the few cities in Greece which was able to resist the Slavic incursions in the 8th century, owing to it's strong defences. The second largest city in Greece after Constantinople, Thessalonika will make a fine addition to the Empire.;;;;;;;;;x 
EVTNAMEPA.10038;Fall of Athens;;;;;;;;;x 
EVTDESCPA.10038;The city of Athens has fallen to our forces and accepted [Root.GetTitledFirstName] as it's sovereign. One of the greatest cities of the ancient Greek world, Athens became a part of the Roman Republic in 146 BC and flourished under Imperial rule. The city remained under Roman control even after the losses to the Arabs, who failed to take Constantinople and invade Greece. While Athens may not be as large as it once was, it will still make a fine addition to the Empire.;;;;;;;;;x 
EVTNAMEPA.10039;Fall of Byzantium;;;;;;;;;x 
EVTDESCPA.10039;The Byzantine Empire has fallen, leaving ourselves as the true heirs of Rome in the east. The Holy Roman Empire may have the support of the Pope, but we control Constantinople, the New Rome and city of the world's desire. The German pretenders can continue to play emperor, so long as they leave the East to it's true rulers. There are much more dangerous enemies close to home we need to deal with, such as the Muslim infidels who still control the Levant, Egypt and Africa.;;;;;;;;;x 
release_prisoner;Release [Root.GetTitledFirstName];;;;;;;;;x 
release_prisoner_desc;I can order my guards to release [Root.GetTitledFirstName] from prison if I wish.;;;;;;;;;x 
d_commune;Roman Commune;;;;;;;;;x 
d_commune_adj;Roman;;;;;;;;;x 
BM_ROMAN_COMMUNE;Commune of Rome;;;;;;;;;x 
BM_ROMAN_COMMUNE_DESC;The year is 1143 and the citizens of Rome have just revolted, exiling the Pope from Rome and declaring a republic under Patrician Giordano. The Papacy is powerful, but it may not be able to re-take Rome without the help of the Holy Roman Emperor. In the East, the Byzantine Empire has managed to reclaim much of Anatolia, but the Crusader states are in a precarious position. The world is changing, and Rome is at the centre of that change.;;;;;;;;;x 
ct_rom_wall_6;Aurelian Walls;;;;;;;;;x 
tp_rom_wall_7;Aurelian Walls;;;;;;;;;x 
tp_stpeters3;St. Peter's Basilica;;;;;;;;;x 
CTT_IMPERIAL_CRUSADES_UNLOCKED;The Crusading Era has Begun\n;;;;;;;;;x 
EVTDESCPA_10044;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Order of Saint Peter in their struggle against the infidel, even though this will forever disinherit him.;;;;;;;;;x 
EVTTOOLTIPPA_10045;[This.GetTitledFirstName] becomes a member of the Order.;;;;;;;;;x 
EVTDESCPA.10052;Most righteous [Root.GetTitledFirstName], the Order needs more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nPax Christi,\n\nGrand Master [From.GetFirstName];;;;;;;;;x 
EVTDESCPA.10053;The Order of Saint Peter has constructed a castle in [Root.GetName]!;;;;;;;;;x 
EVTDESCPA.10055;Your majesty, this antagonism is completely unwarranted! The Order serves Christ, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nGrand Master [From.GetFirstName];;;;;;;;;x 
EVTDESCPA.10057;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Order of Saint Blaise in their struggle against the infidel, even though this will forever disinherit him.;;;;;;;;;x 
EVTTOOLTIPPA_10058;[This.GetTitledFirstName] becomes a member of the Order.;;;;;;;;;x 
EVTDESCPA.10065;Most righteous [Root.GetTitledFirstName], the Order needs more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nPax Christi,\n\nGrand Master [From.GetFirstName];;;;;;;;;x 
EVTDESCPA.10066;The Order of Saint Blaise has constructed a castle in [Root.GetName]!;;;;;;;;;x 
EVTDESCPA.10068;Your majesty, this antagonism is completely unwarranted! The Order serves Christ, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nGrand Master [From.GetFirstName];;;;;;;;;x 
