temple_baron_rabbinic_judaism;Rabbi;;;;;;;;;;;;;x
temple_baron_grand_sanhedrin;Rabbi;;;;;;;;;;;;;x
temple_barony_jewish_group;Beth T'fila;;;;;;;;;;;;;x
temple_baron_of_jewish_group;Beth T'fila;;;;;;;;;;;;;x
isralite_culture_modifer;Israelite Culture Modifiers;;;;;;;;;;;;;x
TOOLTIPISRAELITE_CULTURE_MODIFIERS;Israelite Culture Modifiers;;;;;;;;;;;;;x
TOOLTIPEXPEL;Expel Muslims from your realm.;;;;;;;;;;;;;x
expel_muslims;Expel Muslims;;;;;;;;;;;;;x
expel_muslims_desc;All Muslims will be expelled from the realm and will not return for many years.;;;;;;;;;;;;;x
muslims_are_expelled;All Muslims are expelled from the realm.;;;;;;;;;;;;;x
expelled_muslims;Expelled Muslims;;;;;;;;;;;;;x
expelled_muslims_timer;Expelled Muslims Timer;;;;;;;;;;;;;x
TOOLTIPWELCOME;Welcome Muslims back to your realm.;;;;;;;;;;;;;x
welcome_muslims;Welcome Muslims;;;;;;;;;;;;;x
welcome_muslims_desc;Muslims will be welcomed back into the realm with open arms, enjoying the same rights and liberties as your other citizens.;;;;;;;;;;;;;x
muslims_are_welcome;Muslims are welcomed back into the realm.;;;;;;;;;;;;;x
TOOLTIPWELCOME;Welcome Christians back to your realm.;;;;;;;;;;;;;x
welcome_christians;Welcome Christians;;;;;;;;;;;;;x
welcome_christians_desc;Muslims will be welcomed back into the realm with open arms, enjoying the same rights and liberties as your other citizens.;;;;;;;;;;;;;x
TOOLTIPEXPEL;Expel Christians from your realm.;;;;;;;;;;;;;x
expel_christians;Expel Christians;;;;;;;;;;;;;x
expel_christians_desc;All Christians will be expelled from the realm and will not return for many years.;;;;;;;;;;;;;x
christians_are_expelled;All Christians are expelled from the realm.;;;;;;;;;;;;;x
expelled_christians;Expelled Christians;;;;;;;;;;;;;x
expelled_christians_timer;Expelled Christians Timer;;;;;;;;;;;;;x
TOOLTIPWELCOME;Welcome Christians back to your realm.;;;;;;;;;;;;;x
welcome_christians;Welcome Christians;;;;;;;;;;;;;x
welcome_christians_desc;Muslims will be welcomed back into the realm with open arms, enjoying the same rights and liberties as your other citizens.;;;;;;;;;;;;;x
christians_are_welcome;Christians are welcomed back into the realm.;;;;;;;;;;;;;x
purim_celebrations;Purim Celebrations;;;;;;;;;;;;;x
celebrate_purim;Celebrate Purim;;;;;;;;;;;;;x
celebrate_purim_desc;Celebrate Purim;;;;;;;;;;;;;x
held_purim_timer;Held Purim Timer;;;;;;;;;;;;;x
rosh_hashanah_celebrations;Rosh Hashanah Celebrations;;;;;;;;;;;;;x
celebrate_rosh_hashanah;Celebrate Rosh Hashanah;;;;;;;;;;;;;x
celebrate_rosh_hashanah_desc;Celebrate Rosh Hashanah;;;;;;;;;;;;;x
held_rosh_hashanah_timer;Held Rosh Hashanah Timer;;;;;;;;;;;;;x
yom_kippur_celebrations;Yom Kippur Celebrations;;;;;;;;;;;;;x
celebrate_yom_kippur;Celebrate Yom Kippur;;;;;;;;;;;;;x
celebrate_yom_kippur_desc;Celebrate Yom Kippur;;;;;;;;;;;;;x
held_yom_kippur_timer;Held Yom Kippur Timer;;;;;;;;;;;;;x
bar_mitzvah;Bar Mitzvah;;;;;;;;;;;;;x
bar_mitzvah_desc;A male child's celebration for them becoming an adult.;;;;;;;;;;;;;x
bat_mitzvah;Bat Mitzvah;;;;;;;;;;;;;x
bat_mitzvah_desc;A female child's celebration for them becoming an adult.;;;;;;;;;;;;;x
had_bar_mitzvah;Bar Mitzvah.;;;;;;;;;;;;;x
had_bar_mitzvah_desc;This character has had their Bar Mitzvah.;;;;;;;;;;;;;x
had_bat_mitzvah;Bat Mitzvah.;;;;;;;;;;;;;x
had_bat_mitzvah_desc;This character has had their Bat Mitzvah.;;;;;;;;;;;;;x
voice_of_yahweh; Voice of Yahweh;;;;;;;;;;;;;x
voice_of_yahweh_desc;This individual hears the voice of Yahweh.;;;;;;;;;;;;;x
title_alluph;Alluph;;;;;;;;;;;;;x
title_alluph_desc;The Alluph is the champion of the realm.;;;;;;;;;;;;;x
title_navi;Navi;;;;;;;;;;;;;x
title_navi_desc;Navi's are prophets ordained by G-d.;;;;;;;;;;;;;x
title_shofet;Shofet;;;;;;;;;;;;;x
title_shofet_desc;Shofet's are judges that are ordained by Yahweh.;;;;;;;;;;;;;x
title_tehillim;Tehillim;;;;;;;;;;;;;x
title_tehillim_desc;Psalmists sang or wrote psalms that praised Adoni.;;;;;;;;;;;;;x
title_adrichal;Adrichal;;;;;;;;;;;;;x
title_adrichal_desc;The Architect is responsible for the creation of new buildings and their designs.;;;;;;;;;;;;;x
jewish_relics;Jew Relics;;;;;;;;;;;;;x
jewish_relics_desc;Jewish Relics is the location for Jewish event chains.;;;;;;;;;;;;;x
cochin_jews;Cochin Jews;;;;;;;;;;;;;x
d_rabbinic_judaism;Rabbinic Judaism;;;;;;;;;;;;;x
d_rabbinic_judaism_adj;Rabbinic Judaism;;;;;;;;;;;;;x
d_grand_sanhedrin;The Grand Sanhedrin Rabbis;;;;;;;;;;;;;x
d_grand_sanhedrin_adj;The Grand Sanhedrin;;;;;;;;;;;;;x
GRAND_SANHEDRIN_PATRIARCH;Chief Rabbi of the Sanhedrin of [Kingdom];;;;;;;;;;;;;x
GRAND_SANHEDRIN_PENTARCH;Chief Rabbi of the Grand Sanhedrin of [County];;;;;;;;;;;;;x
d_karaite;Karaite;;;;;;;;;;;;x
d_karaite_adj;Karaite;;;;;;;;;;;;;x
d_temple_judaism;Temple Judaism High Priesthood;;;;;;;;;;;;;x
d_temple_judaism_adj;Temple Judaism;;;;;;;;;;;;;x
b_maccabean_guard;The Maccabean Guard;;;;;;;;;;;;;x
b_maccabean_guard_adj;Maccabean;;;;;;;;;;;;;x
d_knights_khazaria;Knights of Khazaria;;;;;;;;;;;;;x
d_knights_khazaria_adj;Khazarian;;;;;;;;;;;;;x
d_lions_solomon;Lions of Solomon;;;;;;;;;;;;;x
d_lions_solomon_adj;Lion;;;;;;;;;;;;;x
d_knights_goshen;Knights of Goshen;;;;;;;;;;;;;x
d_knights_goshen_adj;Goshen;;;;;;;;;;;;;x
d_siqariqim;Siqariqim;;;;;;;;;;;;;x
d_siqariqim_adj;Siqariqim;;;;;;;;;;;;;x
d_mishkan_guardians;The Mishkan Guardians;;;;;;;;;;;;;x
d_mishkan_guardians_adj;Mishkan;;;;;;;;;;;;;x
trait_maccabean;Maccabean;;;;;;;;;;;;;x
rabbinic_judaism;Rabbinic Judaism;;;;;;;;;;;;;x
rabbinic_judaism_DESC;Rabbinic Judaism is the major religion of the Ashkenazi and Sephardic Jews in Europe.;;;;;;;;;;;;;x
grand_sanhedrin;Grand Sanhedrin;;;;;;;;;;;;;x
grand_sanhedrin_DESC;The Grand Sanhedrin is the reformation of Rabbinic Judaism where the courts are more important than the kohens from the Tribe of Levi. This has caused a schism between them and Temple Judaism.;;;;;;;;;;;;;x
haymanot_judaism;Haymanot Judaism;;;;;;;;;;;;;x
haymanot_judaism_DESC;This is a branch of Judaism that Beta-Israel follows.;;;;;;;;;;;;;x
temple_judaism;Temple Judaism;;;;;;;;;;;;;x
temple_judaism_DESC;Temple Judaism rejects the Sanhedrin and follows the Torah only. This has created a schism between Temple Judaism and the Rabbis of Rabbinic Judaism and the Grand Sanhedrin.;;;;;;;;;;;;;x
reform_rabbinic_judaism;Reform Rabbinic Judaism;;;;;;;;;;;;;x
reform_rabbinic_judaism_desc;Reforming of Rabbinic Judaism into the Grand Sanhedrin.;;;;;;;;;;;;;x
reform_karaite;Reform Karaite;;;;;;;;;;;;;x
reform_karaite_desc;Reforming of Karaite into Temple Judaism.;;;;;;;;;;;;;x
b_city_of_dawid;City of Dawid;;;;;;;;;;;;;x
b_city_of_dawid_desc;The city of Dawid is the height of Jerusalem's shining jewel. It has beautiful works of art plus grandiose architecture that adds to the wonder of Jerusalem. Truly this is how Adonai meant for Jerusalem to be.;;;;;;;;;;;;;x
rebuild_jerusalem;Rebuild Jerusalem;;;;;;;;;;;;;x
rebuild_jerusalem_desc;Rebuild Jerusalem back to being the jewel of the Levant.;;;;;;;;;;;;;x
beta_israel;Beta-Israel;;;;;;;;;;;;;x
beta_israel_desc;Beta-Israel is comprised of Ethiopian Jews.;;;;;;;;;;;;;x
rebuilding_jerusalem_local;Rebuilding Jerusalem;;;;;;;;;;;;;x
rebuilding_jerusalem_local_desc;The process of rebuilding Jerusalem.;;;;;;;;;;;;;x
jerusalem_upper_city;Rebuilding Jerusalem's Upper City;;;;;;;;;;;;;x
jerusalem_upper_city_desc;Rebuilding Jerusalem's Upper City to make it the marvel it used to be.;;;;;;;;;;;;;x
jerusalem_lower_city;Rebuilding Jerusalem's Lower City;;;;;;;;;;;;;x
jerusalem_lower_city_desc;Rebuilding Jerusalem's Lower City to increase the markets and the taxes it brings.;;;;;;;;;;;;;x
jerusalem_gates;Rebuilding Jerusalem's Gates;;;;;;;;;;;;;x
jerusalem_gates_desc;Rebuilding Jerusalem's Gates will make the city more beautiful because of their ornate and intricate details. Each one is different from the others.;;;;;;;;;;;;;x
ca_town_7;Castle Town VII;;;;;;;;;;;;;x
destroy_siqariqim;Destroy Siqariqim;;;;;;;;;;;;;x
destroy_siqariqim_desc;Destroy the Siqariqim and remove their threat.;;;;;;;;;;;;;x
rebuild_siqariqim;Rebuild Siqariqim;;;;;;;;;;;;;x
rebuild_siqariqim_desc;Rebuild the Siqariqim to their former glory.;;;;;;;;;;;;;x
HEAD_CHIEF_RABBI;Chief Rabbi;;;;;;;;;;;;;x
CB_NAME_ISRAEL_SUBJUGATION;Subjugation of Israel;;;;;;;;;;;;;x
israel_subjugation_desc;The subjugation of Israel to return its lands.;;;;;;;;;;;;;x
WAR_NAME_ISRAEL_SUBJUGATION;Subjugation of Israel;;;;;;;;;;;;;x
WAR_NAME_ISRAEL_SUBJUGATION_desc;The subjugation of Israel to return its lands.;;;;;;;;;;;;;x
